OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=RDM,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,14,10,10,0,34,0,0,0,0,0,0,4,7,0,11,0,0,0,0,0,0,0,0,45,45
01/02/2017,14,13,10,0,37,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,39,40
01/03/2017,13,16,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
01/04/2017,3,12,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
01/05/2017,17,16,2,0,35,0,0,0,0,0,0,5,14,0,19,0,0,3,0,3,26,0,26,80,83
01/06/2017,16,17,3,0,36,0,0,1,0,1,0,6,25,0,31,0,0,6,0,6,78,0,78,145,152
01/07/2017,5,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/08/2017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
01/09/2017,9,15,8,0,32,0,1,0,0,1,0,0,4,0,4,0,2,2,0,4,12,0,12,48,53
01/10/2017,13,7,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
01/11/2017,13,6,7,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,4,30,31
01/12/2017,16,26,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45
01/13/2017,15,17,15,0,47,0,0,0,0,0,0,1,22,0,23,0,0,8,0,8,44,0,44,114,122
01/14/2017,14,11,6,0,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32
01/15/2017,15,8,9,0,32,0,0,1,0,1,0,3,13,0,16,0,6,3,0,9,38,0,38,86,96
01/16/2017,16,10,7,0,33,0,0,0,0,0,0,4,12,0,16,0,3,7,0,10,52,0,52,101,111
01/17/2017,15,14,6,2,37,0,0,0,0,0,0,2,10,0,12,0,0,5,0,5,48,0,48,97,102
01/18/2017,15,14,7,0,36,0,0,1,0,1,0,4,3,0,7,0,0,0,0,0,6,0,6,49,50
01/19/2017,16,20,7,0,43,0,0,1,0,1,0,11,24,0,35,0,9,7,0,16,58,0,58,136,153
01/20/2017,18,18,6,0,42,0,0,1,0,1,0,2,1,0,3,0,0,7,0,7,6,0,6,51,59
01/21/2017,16,11,1,0,28,0,0,0,0,0,0,2,14,0,16,0,0,1,0,1,16,0,16,60,61
