OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=RME,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,5,2,0,7,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,23,0,23,41,41
01/02/2017,2,0,5,0,7,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,10,0,10,41,41
01/03/2017,4,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/04/2017,3,0,1,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,6,6
01/05/2017,3,0,1,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,7
01/06/2017,1,1,1,0,3,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,12,0,12,35,35
01/07/2017,0,1,5,2,8,0,0,0,0,0,0,1,8,0,9,0,0,0,0,0,7,14,21,38,38
01/08/2017,1,1,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,5
01/09/2017,1,0,3,0,4,0,0,0,0,0,0,1,10,0,11,0,0,0,0,0,8,0,8,23,23
01/10/2017,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01/11/2017,1,0,0,2,3,0,0,0,0,0,0,0,16,1,17,0,0,0,0,0,31,21,52,72,72
01/12/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/13/2017,0,2,4,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,8,8
01/14/2017,0,1,1,0,2,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,18,0,18,37,37
01/15/2017,0,0,1,0,1,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,41,0,41,74,74
01/16/2017,1,0,2,0,3,0,0,0,0,0,0,0,37,2,39,0,0,0,0,0,57,0,57,99,99
01/17/2017,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
01/18/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/19/2017,1,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/20/2017,1,2,7,6,16,0,0,0,0,0,0,1,6,2,9,0,0,0,0,0,8,0,8,33,33
01/21/2017,0,0,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,38,0,38,44,44
