OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=RNO,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,97,29,23,0,149,0,0,0,0,0,0,1,4,0,5,0,5,0,0,5,0,0,0,154,159
01/02/2017,110,60,44,0,214,0,0,0,0,0,0,2,0,0,2,0,3,0,0,3,10,0,10,226,229
01/03/2017,121,42,39,3,205,0,0,0,0,0,0,7,6,0,13,0,13,1,1,15,0,0,0,218,233
01/04/2017,118,24,25,0,167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,167,168
01/05/2017,130,37,20,5,192,0,0,0,0,0,0,1,2,0,3,0,2,0,0,2,0,0,0,195,197
01/06/2017,129,33,24,2,188,0,0,0,0,0,0,2,17,1,20,0,10,3,0,13,10,0,10,218,231
01/07/2017,106,21,12,0,139,2,0,0,0,2,0,1,0,0,1,0,3,0,0,3,0,0,0,140,145
01/08/2017,98,19,13,0,130,0,0,0,0,0,0,1,1,0,2,0,1,1,0,2,0,0,0,132,134
01/09/2017,109,28,22,0,159,0,0,0,0,0,0,2,3,0,5,0,6,2,0,8,0,0,0,164,172
01/10/2017,117,12,14,0,143,1,0,0,0,1,0,1,2,0,3,0,3,0,0,3,2,0,2,148,152
01/11/2017,123,27,8,5,163,0,0,0,0,0,0,2,2,2,6,0,9,0,1,10,2,2,4,173,183
01/12/2017,118,33,28,3,182,0,0,0,0,0,0,1,0,0,1,0,3,0,0,3,0,0,0,183,186
01/13/2017,122,54,46,4,226,0,0,0,0,0,0,5,20,0,25,0,5,0,0,5,0,6,6,257,262
01/14/2017,97,25,39,0,161,0,0,0,0,0,0,1,2,0,3,2,5,6,0,13,79,0,79,243,256
01/15/2017,102,41,38,2,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,183
01/16/2017,108,44,53,3,208,0,0,0,0,0,0,5,37,0,42,0,2,2,0,4,10,0,10,260,264
01/17/2017,117,35,40,13,205,0,0,0,0,0,0,2,24,2,28,0,4,2,1,7,19,6,25,258,265
01/18/2017,127,20,21,3,171,0,0,0,0,0,0,3,7,0,10,0,4,2,0,6,8,0,8,189,195
01/19/2017,123,37,46,7,213,0,0,0,0,0,0,1,4,0,5,0,9,0,2,11,12,0,12,230,241
01/20/2017,120,35,17,4,176,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,9,9,186,188
01/21/2017,98,28,18,4,148,0,0,0,0,0,0,9,9,0,18,0,6,0,0,6,2,0,2,168,174
