OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ROC,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,34,48,20,0,102,0,0,0,0,0,0,0,43,0,43,0,1,0,0,1,80,0,80,225,226
01/02/2017,45,66,12,0,123,0,0,0,0,0,0,0,14,0,14,0,4,0,0,4,108,32,140,277,281
01/03/2017,55,65,20,0,140,2,3,0,0,5,0,0,2,0,2,0,2,0,0,2,14,0,14,156,163
01/04/2017,59,66,10,0,135,6,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,4,4,141,147
01/05/2017,58,55,22,1,136,2,0,0,0,2,0,0,3,3,6,0,2,0,0,2,12,8,20,162,166
01/06/2017,53,55,12,5,125,0,0,0,0,0,0,1,40,5,46,0,19,5,0,24,112,24,136,307,331
01/07/2017,39,39,19,6,103,0,0,0,0,0,0,0,26,8,34,0,0,0,0,0,86,10,96,233,233
01/08/2017,55,44,10,0,109,1,0,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,113,114
01/09/2017,53,71,13,0,137,0,0,0,0,0,0,0,16,0,16,0,4,3,0,7,14,0,14,167,174
01/10/2017,57,63,10,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130
01/11/2017,62,83,16,1,162,0,0,0,0,0,0,1,17,5,23,0,4,0,0,4,70,0,70,255,259
01/12/2017,60,74,16,0,150,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18,18,36,186,187
01/13/2017,58,68,15,1,142,0,0,0,0,0,0,0,32,3,35,0,1,13,0,14,42,4,46,223,237
01/14/2017,33,53,21,0,107,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,108,20,128,267,267
01/15/2017,46,58,6,0,110,0,0,0,0,0,0,1,19,0,20,0,2,1,0,3,162,0,162,292,295
01/16/2017,50,71,26,0,147,0,0,0,0,0,0,0,47,0,47,0,4,3,0,7,54,0,54,248,255
01/17/2017,64,66,17,0,147,1,1,0,0,2,0,0,1,0,1,0,2,0,0,2,0,0,0,148,152
01/18/2017,57,74,16,4,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,151
01/19/2017,58,87,22,2,169,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,54,20,74,250,250
01/20/2017,56,76,22,0,154,0,2,0,0,2,0,0,25,2,27,0,0,2,0,2,66,12,78,259,263
01/21/2017,43,47,22,0,112,0,1,0,0,1,0,0,12,0,12,0,0,4,0,4,53,0,53,177,182
