OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ROG,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,1,6,0,7,0,0,2,0,2,0,2,4,0,6,0,0,0,0,0,0,0,0,13,15
01/02/2017,0,2,11,0,13,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15
01/03/2017,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
01/04/2017,0,6,18,0,24,0,0,0,0,0,0,0,7,0,7,0,0,8,0,8,0,0,0,31,39
01/05/2017,0,3,15,0,18,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,21,21
01/06/2017,0,3,21,0,24,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,0,4,33,33
01/07/2017,0,0,5,0,5,0,0,0,0,0,0,8,12,0,20,0,2,22,0,24,10,0,10,35,59
01/08/2017,0,2,6,0,8,0,0,0,0,0,0,0,6,0,6,0,6,10,0,16,0,0,0,14,30
01/09/2017,0,2,18,0,20,0,2,2,0,4,0,3,7,0,10,0,8,4,0,12,0,0,0,30,46
01/10/2017,0,2,30,0,32,0,0,0,0,0,0,0,6,0,6,0,0,4,0,4,10,0,10,48,52
01/11/2017,0,8,26,0,34,0,4,0,0,4,0,2,1,0,3,0,0,6,0,6,0,0,0,37,47
01/12/2017,0,10,27,0,37,0,2,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,38,42
01/13/2017,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
01/14/2017,0,1,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
01/15/2017,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
01/16/2017,0,3,12,0,15,0,0,2,0,2,0,3,4,0,7,0,0,2,0,2,0,0,0,22,26
01/17/2017,0,5,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,29,31
01/18/2017,0,5,25,0,30,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,30,34
01/19/2017,0,5,20,0,25,0,0,4,0,4,0,0,5,0,5,0,0,14,0,14,6,0,6,36,54
01/20/2017,0,2,30,0,32,0,0,0,0,0,0,2,7,0,9,0,2,14,0,16,0,0,0,41,57
01/21/2017,0,1,10,0,11,0,0,2,0,2,0,3,20,0,23,0,0,16,0,16,0,0,0,34,52
