OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ROW,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,9,3,0,12,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,18,18
01/02/2017,0,7,17,0,24,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,30,30
01/03/2017,0,17,7,2,26,0,0,0,0,0,0,2,11,0,13,0,1,0,0,1,20,8,28,67,68
01/04/2017,0,15,8,21,44,0,0,0,0,0,0,1,1,5,7,0,0,2,0,2,0,19,19,70,72
01/05/2017,1,19,6,5,31,0,0,0,0,0,0,0,3,1,4,0,0,1,0,1,0,0,0,35,36
01/06/2017,0,14,3,8,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26
01/07/2017,1,16,3,0,20,0,0,0,0,0,0,5,0,4,9,0,1,0,0,1,0,0,0,29,30
01/08/2017,1,9,6,0,16,0,0,0,0,0,0,1,5,0,6,0,0,0,0,0,0,0,0,22,22
01/09/2017,1,10,1,23,35,0,0,0,0,0,0,1,11,9,21,0,0,0,0,0,0,36,36,92,92
01/10/2017,1,12,4,8,25,0,0,0,0,0,0,1,10,2,13,0,0,1,0,1,10,0,10,48,49
01/11/2017,0,13,12,20,45,0,0,0,0,0,0,4,0,9,13,0,0,0,0,0,6,0,6,64,64
01/12/2017,1,16,7,27,51,0,0,0,1,1,0,5,4,1,10,0,1,1,0,2,12,8,20,81,84
01/13/2017,0,15,11,1,27,0,0,0,0,0,0,1,11,0,12,0,0,0,0,0,0,0,0,39,39
01/14/2017,0,8,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
01/15/2017,1,8,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/16/2017,0,12,12,4,28,0,0,0,0,0,0,6,5,2,13,0,0,0,0,0,0,0,0,41,41
01/17/2017,2,16,8,11,37,0,0,0,0,0,0,4,0,2,6,0,0,0,0,0,0,94,94,137,137
01/18/2017,1,22,4,28,55,0,0,0,0,0,0,1,3,8,12,0,1,0,0,1,0,54,54,121,122
01/19/2017,0,14,8,25,47,0,0,0,0,0,0,2,49,0,51,0,0,1,1,2,2,74,76,174,176
01/20/2017,0,19,13,24,56,0,0,0,0,0,0,3,30,4,37,0,0,0,0,0,0,62,62,155,155
01/21/2017,1,14,3,0,18,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,2,0,2,22,23
