OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SIG,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,7,0,7,0,0,0,0,0,0,30,46,0,76,0,0,0,0,0,0,0,0,83,83
01/02/2017,0,0,16,1,17,0,0,0,0,0,0,41,114,2,157,0,0,22,0,22,0,0,0,174,196
01/03/2017,0,2,15,0,17,0,0,0,0,0,0,39,115,3,157,0,0,10,0,10,110,0,110,284,294
01/04/2017,0,0,10,1,11,0,0,0,0,0,0,43,116,2,161,0,0,0,0,0,74,0,74,246,246
01/05/2017,0,0,13,0,13,0,0,0,0,0,0,39,101,4,144,0,0,6,0,6,72,0,72,229,235
01/06/2017,0,0,3,0,3,0,0,0,0,0,0,39,41,0,80,0,0,0,0,0,8,0,8,91,91
01/07/2017,0,0,7,0,7,0,0,0,0,0,0,33,94,1,128,0,0,0,0,0,100,0,100,235,235
01/08/2017,0,0,13,0,13,0,0,0,0,0,0,44,101,0,145,0,0,14,4,18,28,0,28,186,204
01/09/2017,0,0,7,2,9,0,0,0,0,0,0,27,89,3,119,0,0,4,2,6,150,2,152,280,286
01/10/2017,0,0,13,1,14,0,0,0,0,0,0,34,111,9,154,0,0,8,0,8,148,0,148,316,324
01/11/2017,0,0,3,1,4,0,0,0,0,0,0,31,62,4,97,0,0,0,0,0,64,0,64,165,165
01/12/2017,0,4,10,1,15,0,0,0,0,0,0,44,125,8,177,0,0,10,4,14,114,10,124,316,330
01/13/2017,0,0,3,14,17,0,0,0,0,0,0,37,104,6,147,0,0,10,2,12,80,0,80,244,256
01/14/2017,0,0,9,0,9,0,0,0,0,0,0,39,87,0,126,0,0,0,0,0,34,0,34,169,169
01/15/2017,0,0,7,0,7,0,0,0,0,0,0,26,74,2,102,0,0,4,0,4,12,0,12,121,125
01/16/2017,0,0,12,1,13,0,0,0,0,0,0,42,136,0,178,0,0,12,0,12,126,0,126,317,329
01/17/2017,0,2,12,1,15,0,0,0,0,0,0,46,155,20,221,0,0,0,2,2,166,0,166,402,404
01/18/2017,0,1,11,2,14,0,0,0,0,0,0,30,130,1,161,0,0,4,0,4,222,0,222,397,401
01/19/2017,0,0,26,2,28,0,0,0,0,0,0,32,144,2,178,0,0,28,0,28,172,6,178,384,412
01/20/2017,0,1,15,0,16,0,0,0,0,0,0,40,171,5,216,0,0,8,2,10,188,0,188,420,430
01/21/2017,0,1,7,0,8,0,0,0,0,0,0,42,288,2,332,0,0,22,0,22,170,0,170,510,532
