OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SLC,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,487,178,88,1,754,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,755,755
01/02/2017,545,214,133,0,892,0,0,1,0,1,0,3,4,2,9,0,6,2,0,8,0,0,0,901,910
01/03/2017,574,200,64,1,839,0,0,1,0,1,0,21,42,28,91,0,7,15,2,24,0,0,0,930,955
01/04/2017,539,193,55,4,791,0,0,0,0,0,0,2,0,0,2,0,3,4,2,9,0,0,0,793,802
01/05/2017,600,203,76,5,884,0,0,0,0,0,0,17,20,8,45,0,8,1,4,13,0,0,0,929,942
01/06/2017,558,207,71,6,842,0,0,0,0,0,0,15,58,9,82,0,15,40,1,56,20,0,20,944,1000
01/07/2017,472,138,44,0,654,0,0,0,0,0,0,9,10,5,24,0,2,7,0,9,0,0,0,678,687
01/08/2017,544,133,54,1,732,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,734,735
01/09/2017,585,173,63,4,825,0,0,0,0,0,0,10,4,3,17,0,4,3,0,7,0,0,0,842,849
01/10/2017,574,202,51,3,830,0,0,0,0,0,0,11,23,6,40,0,12,4,2,18,12,0,12,882,900
01/11/2017,578,192,58,4,832,0,0,0,0,0,0,5,26,0,31,0,16,1,0,17,48,0,48,911,928
01/12/2017,598,215,90,1,904,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,906,906
01/13/2017,584,231,105,3,923,0,0,2,0,2,0,20,26,7,53,0,10,9,4,23,0,0,0,976,1001
01/14/2017,426,112,54,0,592,0,0,0,0,0,0,0,10,4,14,0,10,7,2,19,0,0,0,606,625
01/15/2017,472,127,44,2,645,0,0,0,0,0,0,0,4,1,5,0,1,7,0,8,8,0,8,658,666
01/16/2017,561,228,103,0,892,0,0,0,0,0,0,11,33,14,58,0,11,21,5,37,0,0,0,950,987
01/17/2017,561,188,56,7,812,0,0,0,0,0,0,33,73,25,131,0,17,37,8,62,6,2,8,951,1013
01/18/2017,568,176,84,9,837,0,0,0,0,0,0,14,48,20,82,0,5,24,7,36,0,0,0,919,955
01/19/2017,595,230,109,7,941,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,943,943
01/20/2017,589,229,103,6,927,0,0,0,0,0,0,13,13,4,30,0,8,10,4,22,0,0,0,957,979
01/21/2017,467,141,50,2,660,0,0,0,0,0,0,11,2,5,18,0,12,0,1,13,0,0,0,678,691
