OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SLN,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,4,11,0,15,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,21,21
01/02/2017,0,6,5,0,11,0,0,0,0,0,0,0,5,0,5,0,0,1,0,1,0,0,0,16,17
01/03/2017,0,9,10,8,27,0,0,0,0,0,0,12,12,2,26,0,1,0,0,1,44,26,70,123,124
01/04/2017,0,11,5,0,16,0,0,0,0,0,0,15,6,0,21,0,0,1,0,1,24,0,24,61,62
01/05/2017,0,9,11,0,20,0,0,0,0,0,0,4,3,10,17,0,0,0,0,0,24,28,52,89,89
01/06/2017,0,10,13,3,26,0,0,0,0,0,0,25,13,4,42,0,1,0,0,1,75,12,87,155,156
01/07/2017,0,6,2,7,15,0,0,0,0,0,0,5,8,6,19,0,0,0,0,0,14,12,26,60,60
01/08/2017,0,2,3,0,5,0,0,0,0,0,0,0,5,2,7,0,0,0,0,0,4,0,4,16,16
01/09/2017,0,8,7,0,15,0,0,0,0,0,0,19,10,0,29,0,0,2,0,2,12,0,12,56,58
01/10/2017,0,7,11,2,20,0,0,0,0,0,0,24,13,8,45,0,0,2,0,2,44,14,58,123,125
01/11/2017,0,6,14,2,22,0,0,0,0,0,0,21,5,2,28,0,0,0,0,0,22,0,22,72,72
01/12/2017,0,8,16,4,28,0,0,0,0,0,0,15,21,4,40,0,1,0,0,1,50,0,50,118,119
01/13/2017,0,7,17,0,24,0,0,0,0,0,0,16,2,0,18,0,0,1,0,1,38,0,38,80,81
01/14/2017,0,3,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
01/16/2017,0,7,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/17/2017,0,9,13,10,32,0,0,0,0,0,0,29,9,5,43,0,0,2,1,3,106,8,114,189,192
01/18/2017,0,16,19,3,38,0,0,0,0,0,0,52,6,9,67,0,0,0,0,0,126,60,186,291,291
01/19/2017,3,19,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32
01/20/2017,0,4,5,0,9,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,0,24,24,40,40
01/21/2017,0,14,17,0,31,0,0,0,0,0,0,31,22,6,59,0,0,2,0,2,76,0,76,166,168
01/24/2017,1,11,10,0,22,0,0,0,0,0,1,74,12,6,93,0,1,0,1,2,80,4,84,199,201
