OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=SUX,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,6,8,0,14,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,5,0,5,26,26
01/02/2017,0,6,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
01/03/2017,0,12,8,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
01/04/2017,0,7,14,15,36,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2,2,41,41
01/05/2017,0,11,13,5,29,0,0,0,0,0,0,3,9,0,12,0,0,1,0,1,0,2,2,43,44
01/06/2017,0,8,15,7,30,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,35,35
01/07/2017,0,6,10,12,28,0,0,0,1,1,0,0,12,0,12,0,1,2,0,3,0,0,0,40,44
01/08/2017,0,10,9,2,21,0,0,0,0,0,2,2,4,0,8,0,0,0,0,0,0,0,0,29,29
01/09/2017,0,8,17,0,25,0,0,0,0,0,0,10,4,0,14,0,0,0,0,0,12,0,12,51,51
01/10/2017,0,5,13,3,21,0,0,0,0,0,0,3,2,0,5,0,0,0,0,0,0,0,0,26,26
01/11/2017,0,5,22,4,31,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,33,33
01/12/2017,0,5,18,11,34,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,2,8,10,52,52
01/13/2017,0,8,20,4,32,0,0,1,0,1,0,0,4,0,4,0,0,0,0,0,4,0,4,40,41
01/14/2017,0,2,15,0,17,0,0,0,0,0,0,1,17,0,18,0,0,1,0,1,14,0,14,49,50
01/15/2017,0,9,13,1,23,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,26,26
01/16/2017,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/17/2017,0,7,8,2,17,0,0,0,0,0,0,1,4,0,5,0,0,0,0,0,0,0,0,22,22
01/18/2017,0,6,22,15,43,0,0,0,0,0,0,2,16,1,19,0,0,0,0,0,8,12,20,82,82
01/19/2017,0,5,16,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
01/20/2017,0,7,7,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
01/21/2017,0,9,15,1,25,0,0,0,0,0,0,6,4,0,10,0,0,0,0,0,8,0,8,43,43
