OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=TEB,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,185,146,0,331,76,18,0,0,94,0,4,40,0,44,0,1,4,0,5,0,0,0,375,474
01/02/2017,0,241,291,0,532,0,1,0,0,1,0,2,23,0,25,0,3,0,0,3,0,0,0,557,561
01/03/2017,0,157,180,0,337,3,2,0,0,5,0,0,4,0,4,0,0,0,0,0,0,0,0,341,346
01/04/2017,0,139,172,0,311,391,107,4,0,502,0,2,24,0,26,0,2,1,0,3,0,0,0,337,842
01/05/2017,0,146,181,0,327,432,126,3,0,561,0,6,37,2,45,0,3,8,0,11,0,0,0,372,944
01/06/2017,2,167,170,0,339,22,1,1,0,24,0,2,46,0,48,0,8,14,0,22,0,0,0,387,433
01/07/2017,0,77,71,0,148,0,0,0,0,0,0,1,6,0,7,0,0,0,0,0,0,0,0,155,155
01/08/2017,2,186,213,0,401,112,38,1,0,151,0,7,28,0,35,0,1,1,0,2,0,0,0,436,589
01/09/2017,0,162,187,0,349,373,119,0,0,492,0,6,38,1,45,0,4,12,0,16,0,0,0,394,902
01/10/2017,0,170,194,0,364,414,118,5,0,537,0,5,35,0,40,0,1,9,0,10,0,0,0,404,951
01/11/2017,0,170,265,0,435,407,132,6,0,545,0,3,67,1,71,0,0,12,1,13,0,0,0,506,1064
01/12/2017,0,219,257,2,478,451,148,8,0,607,0,2,48,0,50,0,2,5,0,7,0,0,0,528,1142
01/13/2017,0,209,237,1,447,33,3,3,0,39,0,8,72,0,80,0,2,11,0,13,0,0,0,527,579
01/14/2017,0,84,86,0,170,221,47,2,0,270,0,4,9,0,13,0,0,2,0,2,0,0,0,183,455
01/15/2017,0,123,158,0,281,13,2,0,0,15,0,1,33,0,34,0,1,5,0,6,0,0,0,315,336
01/16/2017,0,213,258,1,472,372,112,5,0,489,0,9,53,0,62,0,2,10,0,12,0,0,0,534,1035
01/17/2017,0,231,241,1,473,150,55,3,0,208,0,3,15,0,18,0,2,4,0,6,0,0,0,491,705
01/18/2017,0,229,248,2,479,0,0,1,0,1,0,0,19,0,19,0,2,0,0,2,0,0,0,498,501
01/19/2017,0,220,271,0,491,0,0,0,0,0,0,4,47,0,51,0,3,11,0,14,0,0,0,542,556
01/20/2017,0,222,234,2,458,323,97,4,1,425,0,5,20,0,25,0,1,4,0,5,0,0,0,483,913
01/21/2017,0,128,116,1,245,344,86,3,0,433,0,3,5,0,8,0,1,2,0,3,0,0,0,253,689
