OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=TMB,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,1,20,56,0,77,0,0,0,0,0,0,0,104,0,104,0,0,3,0,3,27,0,27,208,211
01/02/2017,0,29,94,0,123,0,0,1,0,1,0,1,243,2,246,0,0,7,1,8,115,0,115,484,493
01/03/2017,0,5,97,0,102,1,0,0,0,1,0,0,274,0,274,0,0,6,0,6,270,0,270,646,653
01/04/2017,0,13,66,0,79,0,2,0,0,2,0,0,151,2,153,0,0,13,0,13,223,0,223,455,470
01/05/2017,0,5,71,0,76,0,0,0,0,0,0,0,354,0,354,0,0,21,0,21,353,0,353,783,804
01/06/2017,0,5,103,0,108,0,0,2,0,2,0,0,318,1,319,0,1,5,0,6,310,0,310,737,745
01/07/2017,0,10,49,0,59,0,0,2,0,2,0,0,180,0,180,0,0,5,0,5,168,0,168,407,414
01/08/2017,0,17,41,2,60,0,0,1,0,1,0,0,121,2,123,0,0,2,1,3,9,0,9,192,196
01/09/2017,0,6,72,0,78,0,1,0,0,1,0,1,275,4,280,0,0,6,1,7,241,0,241,599,607
01/10/2017,4,3,89,0,96,1,0,1,0,2,0,0,280,4,284,0,0,3,1,4,339,0,339,719,725
01/11/2017,0,5,117,0,122,0,0,0,0,0,0,0,370,2,372,0,0,6,0,6,391,0,391,885,891
01/12/2017,0,5,107,0,112,0,0,0,0,0,0,1,371,6,378,0,0,8,5,13,274,0,274,764,777
01/13/2017,0,6,137,0,143,0,0,1,0,1,0,1,421,2,424,0,0,11,1,12,361,0,361,928,941
01/14/2017,0,5,100,0,105,0,0,0,0,0,0,0,343,4,347,0,0,5,0,5,331,0,331,783,788
01/15/2017,0,3,88,0,91,0,0,0,0,0,0,0,288,2,290,0,0,7,0,7,153,0,153,534,541
01/16/2017,0,1,126,0,127,0,0,0,0,0,0,0,392,0,392,0,1,7,0,8,246,0,246,765,773
01/17/2017,0,3,89,0,92,0,0,0,0,0,0,0,342,2,344,0,0,5,0,5,306,0,306,742,747
01/18/2017,0,1,107,0,108,0,0,1,0,1,0,0,484,2,486,0,0,7,0,7,491,0,491,1085,1093
01/19/2017,0,9,98,0,107,0,0,0,0,0,0,0,413,3,416,0,0,3,1,4,499,0,499,1022,1026
01/20/2017,0,4,93,0,97,0,0,1,0,1,0,0,392,2,394,0,0,4,2,6,536,0,536,1027,1034
01/21/2017,0,10,87,1,98,0,0,1,0,1,0,0,348,0,348,0,0,14,0,14,416,0,416,862,877
