OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=TXK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/02/2017,0,4,3,0,7,0,0,0,0,0,0,2,7,0,9,0,0,2,0,2,14,0,14,30,32
01/03/2017,0,7,15,8,30,0,0,2,0,2,0,7,2,0,9,0,0,1,0,1,32,30,62,101,104
01/04/2017,0,6,21,4,31,0,0,0,0,0,0,1,12,0,13,0,1,0,0,1,28,2,30,74,75
01/05/2017,0,11,8,0,19,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,2,22,23
01/06/2017,0,3,5,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,14,0,14,24,24
01/07/2017,0,3,10,0,13,0,0,0,0,0,0,12,13,0,25,0,12,1,0,13,36,0,36,74,87
01/08/2017,0,5,12,0,17,0,0,0,0,0,0,3,13,6,22,0,1,0,0,1,14,0,14,53,54
01/09/2017,0,11,12,2,25,0,0,0,0,0,0,4,6,3,13,0,2,1,0,3,8,2,10,48,51
01/10/2017,0,4,2,2,8,0,0,2,0,2,0,4,7,0,11,0,2,2,0,4,28,0,28,47,53
01/11/2017,0,11,13,6,30,0,1,0,0,1,0,5,1,2,8,0,2,0,0,2,6,28,34,72,75
01/12/2017,0,8,12,0,20,0,0,0,0,0,0,3,0,0,3,0,2,0,0,2,6,0,6,29,31
01/13/2017,0,11,12,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,25,25
01/14/2017,0,2,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
01/15/2017,0,4,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
01/16/2017,0,6,11,0,17,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,21,21
01/17/2017,0,6,20,2,28,0,0,0,0,0,0,1,13,4,18,0,0,0,0,0,32,34,66,112,112
01/18/2017,0,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/19/2017,0,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/20/2017,0,7,31,2,40,0,0,0,0,0,0,10,32,2,44,0,8,0,0,8,34,0,34,118,126
01/21/2017,0,8,8,1,17,0,0,0,0,0,0,1,7,0,8,0,0,0,0,0,6,0,6,31,31
