OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=UES,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,3,11,0,14,0,0,0,0,0,0,3,102,0,105,0,0,18,0,18,76,0,76,195,213
01/02/2017,0,3,9,0,12,0,0,0,0,0,0,2,31,0,33,0,0,0,0,0,38,0,38,83,83
01/03/2017,0,7,11,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,19,19
01/04/2017,0,4,8,4,16,0,0,0,0,0,0,11,11,0,22,0,12,0,0,12,0,0,0,38,50
01/05/2017,0,4,14,0,18,0,0,0,0,0,0,2,12,0,14,0,0,0,0,0,4,0,4,36,36
01/06/2017,0,1,13,0,14,0,0,0,0,0,0,3,22,0,25,0,2,2,0,4,2,0,2,41,45
01/07/2017,0,3,7,0,10,0,0,0,0,0,0,2,51,0,53,0,0,0,0,0,20,0,20,83,83
01/08/2017,0,6,10,0,16,0,0,0,0,0,0,0,82,0,82,0,0,10,0,10,40,0,40,138,148
01/09/2017,0,9,12,0,21,0,0,0,0,0,0,0,27,0,27,0,0,1,0,1,78,0,78,126,127
01/10/2017,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/11/2017,0,1,9,0,10,0,0,0,0,0,0,2,13,0,15,0,0,2,0,2,16,0,16,41,43
01/12/2017,0,1,20,0,21,0,0,0,0,0,0,2,22,2,26,0,0,0,0,0,20,2,22,69,69
01/13/2017,0,8,19,0,27,0,0,0,0,0,0,2,53,0,55,0,0,0,0,0,28,0,28,110,110
01/14/2017,0,3,9,0,12,0,0,0,0,0,0,0,70,0,70,0,0,8,0,8,62,0,62,144,152
01/15/2017,0,3,11,0,14,0,0,0,0,0,0,0,54,0,54,0,0,6,0,6,30,0,30,98,104
01/16/2017,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
01/17/2017,0,3,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
01/18/2017,0,3,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
01/19/2017,0,13,20,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33
01/20/2017,0,1,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/21/2017,0,1,11,0,12,0,0,0,0,0,0,0,21,0,21,0,0,4,0,4,30,0,30,63,67
