OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=VGT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,17,0,17,0,0,2,0,2,0,131,73,2,206,0,5,4,0,9,118,0,118,341,352
01/02/2017,0,0,20,0,20,1,0,0,0,1,0,79,32,0,111,0,4,1,0,5,114,0,114,245,251
01/03/2017,0,6,36,0,42,1,3,1,3,8,0,95,96,4,195,0,6,12,0,18,294,2,296,533,559
01/04/2017,0,0,24,3,27,0,0,2,2,4,0,50,105,6,161,0,3,7,0,10,196,0,196,384,398
01/05/2017,0,8,20,4,32,0,1,0,0,1,0,37,46,4,87,0,2,4,4,10,96,0,96,215,226
01/06/2017,0,2,26,0,28,0,0,0,0,0,0,62,127,10,199,0,9,12,0,21,174,4,178,405,426
01/07/2017,0,0,28,0,28,0,0,2,0,2,0,64,103,5,172,0,2,5,0,7,304,0,304,504,513
01/08/2017,0,3,26,2,31,0,0,2,0,2,0,34,121,7,162,0,3,0,0,3,172,0,172,365,370
01/09/2017,0,1,9,0,10,0,0,0,0,0,0,27,37,0,64,0,1,6,0,7,84,0,84,158,165
01/10/2017,0,0,24,1,25,0,1,1,1,3,0,49,114,2,165,0,1,8,3,12,324,0,324,514,529
01/11/2017,0,2,6,1,9,1,1,1,2,5,0,47,47,1,95,0,3,4,0,7,30,0,30,134,146
01/12/2017,0,0,22,3,25,2,2,1,2,7,0,57,63,4,124,0,1,6,1,8,120,0,120,269,284
01/13/2017,0,7,28,1,36,0,0,0,0,0,0,40,53,6,99,0,1,1,2,4,318,0,318,453,457
01/14/2017,0,1,18,0,19,0,2,0,0,2,0,93,98,7,198,0,2,8,0,10,238,2,240,457,469
01/15/2017,0,3,16,4,23,0,0,1,0,1,0,74,108,8,190,0,3,13,0,16,168,12,180,393,410
01/16/2017,0,1,37,0,38,0,0,0,0,0,0,66,131,4,201,0,4,15,0,19,182,0,182,421,440
01/17/2017,0,3,62,3,68,0,2,0,4,6,0,35,154,11,200,0,4,11,3,18,362,2,364,632,656
01/18/2017,0,2,45,3,50,0,2,0,7,9,0,51,155,9,215,0,2,7,0,9,408,6,414,679,697
01/19/2017,0,3,26,5,34,1,0,2,4,7,0,40,47,9,96,0,0,6,3,9,172,0,172,302,318
01/20/2017,0,3,21,2,26,0,0,0,1,1,0,3,13,0,16,0,0,1,8,9,102,0,102,144,154
01/21/2017,0,1,41,3,45,0,0,0,2,2,0,101,125,4,230,0,8,3,0,11,236,6,242,517,530
