STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/1/17,1.12,0,0,0,23,29,19
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/2/17,0.22,0,0,0,22,28,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/3/17,0.45,0,0,0,21,27,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/4/17,0.67,0.01,0,0,26,29,20
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/5/17,3.13,0,0,0,24,32,19
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/6/17,10.74,0,0,0,27,30,23
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/7/17,17,0,0,0,24,25,16
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/8/17,9.62,0,0,0,22,32,11
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/9/17,7.61,0,0,0,26,31,13
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/10/17,2.01,0,0,0,18,31,12
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/11/17,4.7,0,0,0,16,28,9
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/12/17,13.2,0.03,0,0,29,37,28
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/13/17,26.17,1.17,0,0,36,40,36
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/14/17,19.91,0.77,0,0,40,42,39
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/15/17,18.12,0.59,0,0,40,43,38
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/16/17,21.92,1.49,0,0,41,42,37
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/17/17,1.79,0,0,0,37,37,31
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/18/17,1.12,0.2,0,0,33,39,30
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/19/17,4.03,0.39,2,0,35,39,29
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/20/17,4.03,0,0,2,28,29,12
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/21/17,6.26,0,0,2,19,25,11
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/22/17,0.89,0,0.1,2,22,28,16
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/23/17,12.3,0.14,1.1,2,31,36,28
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/24/17,21.25,0.59,0.5,2,35,42,33
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/25/17,20.13,0.16,0,0,41,42,39
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/26/17,19.69,0.14,0,0,41,46,40
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/27/17,17,0.23,0,0,42,43,35
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/28/17,14.99,0.27,0,0,40,44,36
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/29/17,4.92,0.09,0,0,36,38,30
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/30/17,0.67,0,0,0,31,35,20
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,1/31/17,0.67,0,0,0,26,31,19
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/1/17,0.22,0,0,0,24,30,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/2/17,5.14,0,0,0,25,37,19
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/3/17,12.08,0,0,0,31,38,26
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/4/17,6.26,0,0,0,33,41,22
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/5/17,6.49,0,0,0,29,37,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/6/17,8.05,0,0,0,29,33,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/7/17,6.26,0,0,0,26,33,14
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/8/17,2.68,0,0.2,0,20,28,11
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/9/17,2.91,0,0.4,1.2,24,30,19
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/10/17,13.87,0.06,1.1,0,27,34,27
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/11/17,28.41,1.86,0.4,1.2,33,36,32
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/12/17,15.21,0.73,0,0,36,41,35
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/13/17,24.83,0.61,0,0,42,47,40
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/14/17,17.67,0.55,0,0,46,53,41
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/15/17,9.4,0.32,0,0,42,44,28
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/16/17,1.57,0,0,0,31,38,25
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/17/17,6.26,0.02,0.1,0,33,38,30
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/18/17,2.68,0,0,0,35,38,23
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/19/17,1.12,0,0,0,28,41,20
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/20/17,1.34,0,0,0,26,37,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/21/17,1.57,0,0,0,26,35,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/22/17,4.25,0.03,0.5,0,25,33,17
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/23/17,2.24,0,0,1.2,30,35,21
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/24/17,4.03,0,0,0,26,36,18
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/25/17,4.03,0.13,1.4,0,34,42,23
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/26/17,1.34,0,0,0,27,36,19
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/27/17,1.34,0,0,0,25,39,16
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,2/28/17,10.29,0,0,0,29,32,26
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/1/17,12.3,0.08,2.1,2,30,33,28
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/2/17,7.16,0.18,3.7,3.1,28,29,22
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/3/17,10.51,0,0.4,5.9,23,24,14
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/4/17,12.53,0,0,3.9,19,21,8
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/5/17,9.62,0,0,3.9,16,20,5
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/6/17,17,0,0,3.9,15,16,12
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/7/17,17,0,0,3.1,14,19,10
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/8/17,16.11,0,0,3.1,18,20,15
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/9/17,17,0,0,3.1,18,22,15
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/10/17,18.12,0,0,2,19,21,16
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/11/17,16.55,0,0,2,19,24,12
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/12/17,4.47,0.55,7.5,2,19,22,11
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/13/17,1.12,0.48,6.1,11.8,23,29,22
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/14/17,2.01,0.39,7.2,15,26,30,24
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/15/17,11.18,0.11,1.5,20.1,31,36,27
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/16/17,6.93,0.19,1.2,15,34,36,30
USW00025309,"JUNEAU AIRPORT, AK US",58.354,-134.55606,5.9,3/17/17,2.24,0,0,13,31,37,21
