"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TMAX"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-01","1.12","0.00","0.0","20.1","20"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-02","2.24","0.00","0.0","18.9","8"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-03","2.46","0.06","1.0","18.1","17"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-04","0.89","0.08","1.0","18.1","19"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-05","9.84","0.16","3.7","20.9","24"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-06","0.67","0.00","0.0","20.1","-6"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-07","0.45","0.00","0.0","20.1","-14"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-08","1.12","0.00","0.0","20.1","-15"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-09","0.67","0.00","0.0","20.1","-12"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-10","0.45","0.00","0.0","18.9","-15"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-11","1.34","0.03","0.7","18.9","-2"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-12","0.45","0.06","1.1","18.9","1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-13","4.92","0.00","0.1","18.9","8"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-14","5.59","0.13","3.2","18.9","13"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-15","2.91","0.00","0.0","20.9","-11"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-16","1.57","0.28","2.8","22.8","-12"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-17","2.01","0.02","0.2","22.8","-14"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-18","0.00","0.00","0.0","20.9","-41"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-19","1.12","0.00","0.0","20.9","-25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-20","2.01","0.01","0.2","20.9","1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-21","2.68","0.03","0.4","20.9","-3"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-22","0.67","0.00","0.0","20.9","-18"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-23","0.67","0.00","0.0","20.9","-9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-24","0.67","0.00","0.0","20.9","-8"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-25","1.34","0.00","0.0","20.9","8"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-26","2.68","0.00","0.0","20.9","25"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-27","1.34","0.00","0.0","20.1","16"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-28","3.36","0.10","2.6","20.1","20"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-29","2.01","0.00","0.0","22.0","19"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2017-01-30","0.67","0.00","0.0","20.9","4"
