,day_index,DATE_unix_UTC,SUNRISE,SUNSET,TMAX,TMIN,AWND,FORECAST,PROB_PREC,PRCP,SNOW,Date,Month,Day,Week_Day,Year,PRCP_SQRT,SNOW_SQRT,isAHOLIDAY,IFR,Intercept,LOC,REGION,LATITUDE,LONGITUDE,Intercept_coeff,IFR_coeff,AWND_coeff,PRCP_coeff,PRCP_SQRT_coeff,SNOW_coeff,SNOW_SQRT_coeff,TMIN_coeff,TMAX_coeff,isAHOLIDAY_coeff,Month_coeff,Day_coeff,Week_Day_coeff,Year_coeff,Intercept_coeff_se,IFR_coeff_se,AWND_coeff_se,PRCP_coeff_se,PRCP_SQRT_coeff_se,SNOW_coeff_se,SNOW_SQRT_coeff_se,TMIN_coeff_se,TMAX_coeff_se,isAHOLIDAY_coeff_se,Month_coeff_se,Day_coeff_se,Week_Day_coeff_se,Year_coeff_se,Intercept_p,IFR_p,AWND_p,PRCP_p,PRCP_SQRT_p,SNOW_p,SNOW_SQRT_p,TMIN_p,TMAX_p,isAHOLIDAY_p,Month_p,Day_p,Week_Day_p,Year_p,test_root_MSE,R2,PSEUDO R-SQU,LOG-LIKELIHOOD,LL-NULL,LLR p-value,mod_descript,expr,CONF_lower,CONF_upper,y_forecast
0,0,1652112000,2022-05-09 05:51:00,2022-05-09 20:05:26,70.2,39.2,14.88,Clear,0.0,0.0,0.0,2022-05-09,5,9,0,2022,0.0,0.0,1,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,30.115129134120245,171.8286871879421,71.93499220554085
1,1,1652198400,2022-05-10 05:49:55,2022-05-10 20:06:27,66.45,39.07,13.73,Clear,0.0,0.0,0.0,2022-05-10,5,10,1,2022,0.0,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,27.68618181747738,154.84941376289237,65.47662959995135
2,2,1652284800,2022-05-11 05:48:53,2022-05-11 20:07:28,69.06,40.12,11.95,Clear,0.0,0.0,0.0,2022-05-11,5,11,2,2022,0.0,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,31.34040408037814,179.0250704199797,74.90472646956474
3,3,1652371200,2022-05-12 05:47:51,2022-05-12 20:08:29,74.14,46.78,7.65,Clear,0.0,0.0,0.0,2022-05-12,5,12,3,2022,0.0,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,33.122326542681336,195.51721754543027,80.47350572863225
4,4,1652457600,2022-05-13 05:46:51,2022-05-13 20:09:29,73.47,49.64,6.49,Clouds,0.0,0.0,0.0,2022-05-13,5,13,4,2022,0.0,0.0,1,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,29.87562008940781,180.3190127313102,73.3971547081882
5,5,1652544000,2022-05-14 05:45:53,2022-05-14 20:10:29,66.15,61.7,5.23,Rain,0.88,0.13188976377952757,0.0,2022-05-14,5,14,5,2022,0.36316630319941245,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,5.433505803617914,44.807356504319294,15.603237856643595
6,6,1652630400,2022-05-15 05:44:56,2022-05-15 20:11:28,68.09,62.01,9.4,Rain,0.89,0.10826771653543307,0.0,2022-05-15,5,15,6,2022,0.32904060013231357,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,5.40700858512712,48.59943067925565,16.210414520148017
7,7,1652716800,2022-05-16 05:44:01,2022-05-16 20:12:27,73.02,51.78,17.2,Rain,0.89,0.09015748031496064,0.0,2022-05-16,5,16,0,2022,0.30026235247689753,0.0,1,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,7.894509656105746,64.93384969077792,22.64113299709105
8,0,1652119200,2022-05-09 07:45:00,2022-05-09 21:25:21,101.88,75.6,22.41,Rain,0.32,0.022440944881889763,0.0,2022-05-09,5,9,0,2022,0.14980302026958522,0.0,1,62.872398685651696,1,ABI,ASW,32.41133333333333,-99.68188888888889,100.96246695251547,0.0037331623818594195,-0.027135168959169318,0.8955190455105903,-2.044239860031962,NaN,NaN,-0.02652847090380835,0.03742230475731585,NaN,-0.008476410723287168,NaN,NaN,-0.04887606546013528,16.695569685554823,0.00041473800999342243,0.003101224829129829,0.16665515517363627,0.19143888937792866,NaN,NaN,0.0016164656540567006,0.001698097632813508,NaN,0.0038054850631089273,NaN,NaN,0.008269998160005943,1.4732901043580414e-09,2.2315297710932404e-19,2.1368726743718572e-18,7.722905521429655e-08,1.2861983344144158e-26,NaN,NaN,1.5849741544905197e-60,1.2511935479789326e-107,NaN,0.02591926639514607,NaN,NaN,3.420132359158927e-09,17.4,NaN,0.09842861842844552,-5977.627092674562,-6630.231632080859,1.758922290816628e-276,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Year + Month,3.852474988717215e-28,1.6929838485414776e+30,25.538555035099975
9,1,1652205600,2022-05-10 07:44:13,2022-05-10 21:26:05,97.07,74.01,25.05,Rain,0.45,0.03149606299212599,0.0,2022-05-10,5,10,1,2022,0.17747130188322277,0.0,0,62.872398685651696,1,ABI,ASW,32.41133333333333,-99.68188888888889,100.96246695251547,0.0037331623818594195,-0.027135168959169318,0.8955190455105903,-2.044239860031962,NaN,NaN,-0.02652847090380835,0.03742230475731585,NaN,-0.008476410723287168,NaN,NaN,-0.04887606546013528,16.695569685554823,0.00041473800999342243,0.003101224829129829,0.16665515517363627,0.19143888937792866,NaN,NaN,0.0016164656540567006,0.001698097632813508,NaN,0.0038054850631089273,NaN,NaN,0.008269998160005943,1.4732901043580414e-09,2.2315297710932404e-19,2.1368726743718572e-18,7.722905521429655e-08,1.2861983344144158e-26,NaN,NaN,1.5849741544905197e-60,1.2511935479789326e-107,NaN,0.02591926639514607,NaN,NaN,3.420132359158927e-09,17.4,NaN,0.09842861842844552,-5977.627092674562,-6630.231632080859,1.758922290816628e-276,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Year + Month,2.9519517859159455e-28,1.3190646828011856e+30,19.732752839209923
