,day_index,DATE_unix_UTC,SUNRISE,SUNSET,TMAX,TMIN,AWND,FORECAST,PROB_PREC,PRCP,SNOW,Date,Month,Day,Week_Day,Year,PRCP_SQRT,SNOW_SQRT,isAHOLIDAY,IFR,Intercept,LOC,REGION,LATITUDE,LONGITUDE,Intercept_coeff,IFR_coeff,AWND_coeff,PRCP_coeff,PRCP_SQRT_coeff,SNOW_coeff,SNOW_SQRT_coeff,TMIN_coeff,TMAX_coeff,isAHOLIDAY_coeff,Month_coeff,Day_coeff,Week_Day_coeff,Year_coeff,Intercept_coeff_se,IFR_coeff_se,AWND_coeff_se,PRCP_coeff_se,PRCP_SQRT_coeff_se,SNOW_coeff_se,SNOW_SQRT_coeff_se,TMIN_coeff_se,TMAX_coeff_se,isAHOLIDAY_coeff_se,Month_coeff_se,Day_coeff_se,Week_Day_coeff_se,Year_coeff_se,Intercept_p,IFR_p,AWND_p,PRCP_p,PRCP_SQRT_p,SNOW_p,SNOW_SQRT_p,TMIN_p,TMAX_p,isAHOLIDAY_p,Month_p,Day_p,Week_Day_p,Year_p,test_root_MSE,R2,PSEUDO R-SQU,LOG-LIKELIHOOD,LL-NULL,LLR p-value,mod_descript,expr,CONF_lower,CONF_upper,y_forecast
0,0,1650902400,2022-04-25 06:08:19,2022-04-25 19:50:47,63.14,42.24,11.92,Clouds,0.36,0.0,0.0,2022-04-25,4,25,0,2022,0.0,0.0,1,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,22.328970065989758,115.65467376702817,50.81780936380261
1,1,1650988800,2022-04-26 06:06:57,2022-04-26 19:51:51,55.76,50.47,8.05,Rain,1.0,0.21377952755905513,0.0,2022-04-26,4,26,1,2022,0.4623629824705424,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,4.2460756744640955,30.752254990111496,11.427003187556634
2,2,1651075200,2022-04-27 06:05:36,2022-04-27 19:52:54,49.71,35.49,17.65,Clouds,0.5,0.0,0.0,2022-04-27,4,27,2,2022,0.0,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,15.115154070133215,79.58866503778992,34.684217365862814
3,3,1651161600,2022-04-28 06:04:16,2022-04-28 19:53:57,50.23,31.42,20.04,Clouds,0.07,0.0,0.0,2022-04-28,4,28,3,2022,0.0,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,17.122391088213476,94.29429026971114,40.181385184977344
4,4,1651248000,2022-04-29 06:02:58,2022-04-29 19:55:01,54.64,32.88,17.49,Clear,0.0,0.0,0.0,2022-04-29,4,29,4,2022,0.0,0.0,1,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,20.933945386124204,117.93253460527575,49.68695239873386
5,5,1651334400,2022-04-30 06:01:40,2022-04-30 19:56:04,59.63,34.63,14.05,Clear,0.0,0.0,0.0,2022-04-30,4,30,5,2022,0.0,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,26.66710392004002,152.1811046124409,63.704233229562114
6,6,1651420800,2022-05-01 06:00:24,2022-05-01 19:57:07,65.07,38.39,8.48,Clouds,0.0,0.0,0.0,2022-05-01,5,1,6,2022,0.0,0.0,0,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,34.27958558297491,197.36604149970066,82.25342613388192
7,7,1651507200,2022-05-02 05:59:09,2022-05-02 19:58:10,72.55,51.44,11.68,Rain,0.81,0.16614173228346457,0.0,2022-05-02,5,2,0,2022,0.40760487274254287,0.0,1,87.0881708652793,1,ABE,AEA,40.652363888888885,-75.44040555555556,2.7956625953328036,0.006637275724015701,-0.02751411109345177,1.0305084527345283,-2.589252427875556,NaN,NaN,-0.041577096134214106,0.04093087152588361,NaN,0.013591397576733362,NaN,0.0223749718045498,NaN,0.10261283694599235,0.0006714807500252065,0.004546300051715908,0.12564376775575006,0.14594085144252322,NaN,NaN,0.0017991265531524866,0.001763048545725781,NaN,0.004245842092228055,NaN,0.006984026662009573,NaN,1.917023266051621e-163,4.858266645243041e-23,1.4307738836153444e-09,2.367607620371768e-16,1.994661497519261e-70,NaN,NaN,3.7073485692381147e-118,3.141360768639454e-119,NaN,0.0013690037837129957,NaN,0.0013565720092104233,NaN,25.85,NaN,0.12551862252775814,-6546.953611144443,-7486.6701336384485,0.0,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month + Week_Day,7.507505834241865,61.43118174741224,21.475450062177266
8,0,1650909600,2022-04-25 07:57:59,2022-04-25 21:15:02,67.6,51.28,22.06,Rain,0.79,0.004724409448818898,0.0,2022-04-25,4,25,0,2022,0.06873433966234707,0.0,1,62.872398685651696,1,ABI,ASW,32.41133333333333,-99.68188888888889,100.96246695251547,0.0037331623818594195,-0.027135168959169318,0.8955190455105903,-2.044239860031962,NaN,NaN,-0.02652847090380835,0.03742230475731585,NaN,-0.008476410723287168,NaN,NaN,-0.04887606546013528,16.695569685554823,0.00041473800999342243,0.003101224829129829,0.16665515517363627,0.19143888937792866,NaN,NaN,0.0016164656540567006,0.001698097632813508,NaN,0.0038054850631089273,NaN,NaN,0.008269998160005943,1.4732901043580414e-09,2.2315297710932404e-19,2.1368726743718572e-18,7.722905521429655e-08,1.2861983344144158e-26,NaN,NaN,1.5849741544905197e-60,1.2511935479789326e-107,NaN,0.02591926639514607,NaN,NaN,3.420132359158927e-09,17.4,NaN,0.09842861842844552,-5977.627092674562,-6630.231632080859,1.758922290816628e-276,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Year + Month,3.052059582984459e-28,8.350425813613175e+29,15.964334350807913
9,1,1650996000,2022-04-26 07:56:57,2022-04-26 21:15:46,74.39,46.04,14.34,Clear,0.0,0.0,0.0,2022-04-26,4,26,1,2022,0.0,0.0,0,62.872398685651696,1,ABI,ASW,32.41133333333333,-99.68188888888889,100.96246695251547,0.0037331623818594195,-0.027135168959169318,0.8955190455105903,-2.044239860031962,NaN,NaN,-0.02652847090380835,0.03742230475731585,NaN,-0.008476410723287168,NaN,NaN,-0.04887606546013528,16.695569685554823,0.00041473800999342243,0.003101224829129829,0.16665515517363627,0.19143888937792866,NaN,NaN,0.0016164656540567006,0.001698097632813508,NaN,0.0038054850631089273,NaN,NaN,0.008269998160005943,1.4732901043580414e-09,2.2315297710932404e-19,2.1368726743718572e-18,7.722905521429655e-08,1.2861983344144158e-26,NaN,NaN,1.5849741544905197e-60,1.2511935479789326e-107,NaN,0.02591926639514607,NaN,NaN,3.420132359158927e-09,17.4,NaN,0.09842861842844552,-5977.627092674562,-6630.231632080859,1.758922290816628e-276,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Year + Month,6.841082334634133e-28,1.6328643781070433e+30,33.422387185719714
