,LOC,LATITUDE,LONGITUDE,VFR 2022-04-03,VFR 2022-04-04,VFR 2022-04-05,VFR 2022-04-06,VFR 2022-04-07,VFR 2022-04-08,VFR 2022-04-09,VFR 2022-04-10
0,JFK,40.63915,-73.7639,30.08340275057696,64.05356990041169,42.387070840774726,18.566412070843548,22.94113615684705,58.64477459182727,50.52499834347026,60.835419562039064
1,EWR,40.68275,-74.16927,118.25809606708171,213.72122003029045,147.60840566425884,65.58891437994083,61.71380161001562,192.3226448504716,177.61315387021602,195.95839768669674
2,LGA,40.77945,-73.88027,70.63087051215547,167.61052984686276,103.2623807062659,39.88230082968897,34.77625595393363,152.29779583351757,119.53710258445662,141.26673996509322
3,TEB,40.85898,-74.05616,35.769919953433615,60.23965921636029,45.50382008020641,26.36229054830496,23.084345762296287,54.985774459824036,50.29827596888103,54.638818163487166
4,VNY,34.21214,-118.49146,278.25408804508265,271.08747558078164,303.1700675631765,325.5910229311653,315.81376660233127,325.5637706475633,301.93961646483643,261.9168445961166
5,ACY,39.45203,-74.56701,32.606619870285016,41.123414232431124,31.736976165074218,15.323598072377663,30.59924804105425,43.20849419395431,39.484823751222315,41.92967738527636
6,GFK,47.94281,-97.18294,238.09444570713612,206.22402751526775,81.94846547345986,144.7554539870975,163.7775422469099,199.52019325658637,200.3075383996225,219.7460519531236
7,DVT,33.69021,-112.06616,350.8539646169846,255.52504601306754,255.62571744563994,275.2715207939086,227.61982638058487,293.5697547393248,298.8234602852631,233.6074969605812
8,PRC,34.64915,-112.42234,149.69002727314518,111.19483745518798,95.70930665399345,143.11230273316158,177.35710881393658,177.98626214286912,146.61568497903647,102.44193889475247
9,CVG,39.04443,-84.67241,6.408105683303218,6.185385387664468,2.849768036949367,3.454862159471886,5.007873201718631,3.365006998817539,4.636985951615623,7.215355595279011
