"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-01","7.16","0.05","1.0","38","23"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-02","4.92","0.03","0.5","26","21"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-03","4.47","0.00","0.0","22","18"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-04","6.93","0.00","0.0","19","4"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-05","4.25","0.00","0.0","14","1"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-06","2.91","0.00","0.2","11","0"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-07","4.47","0.26","2.1","16","1"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-08","6.26","0.19","1.0","22","14"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-09","5.82","0.24","1.3","39","21"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-10","6.04","0.19","1.7","32","19"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-11","7.61","0.03","1.2","19","-1"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-12","2.68","0.00","0.0","10","-6"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-13","2.01","0.00","0.0","5","-5"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-14","3.36","0.00","0.0","10","-4"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-15","4.47","0.00","0.0","13","4"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-16","4.03","0.00","0.0","14","2"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-17","3.13","0.07",,"22","2"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-18","14.54","0.15","0.0","51","22"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-19","4.70","0.00","0.0","51","36"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-20","5.59","0.00","0.0","48","26"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-21","4.70","0.01","0.0","47","29"
"USW00024160","WALLA WALLA REGIONAL AIRPORT, WA US","46.09456","-118.28572","356.7","2017-01-22","8.50","0.03","0.0","48","31"
