"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-01","7.16","0.00",,"56","34"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-02","5.37","0.30",,"54","40"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-03","10.74","1.04",,"57","47"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-04","6.71","0.43",,"57","47"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-05","3.13","0.00",,"52","31"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-06","7.38","0.01",,"51","27"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-07","9.62","0.63",,"60","44"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-08","13.87","2.20",,"64","57"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-09","9.40","0.36",,"59","49"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-10","13.87","2.13",,"59","52"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-11","9.17","0.32",,"56","44"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-12","5.37","0.32",,"53","39"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-13","3.13","0.00",,"57","35"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-14","3.36","0.00",,"58","33"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-15","5.82","0.00",,"53","36"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-16","7.16","0.00",,"54","33"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-17","8.72","0.00",,"53","33"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-18","10.29","1.43",,"54","46"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-19","7.38","0.46",,"58","47"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-20","10.96","0.79",,"56","47"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-21","10.29","0.46",,"57","47"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-22","7.61","1.14",,"58","46"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-23","4.92","0.09",,"53","39"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-24","5.37","0.00",,"59","38"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-25","3.13","0.00",,"55","33"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-26","4.47","0.00",,"57","35"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-27","6.49","0.00",,"61","36"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-28","6.49","0.00",,"63","34"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-29","4.25","0.00",,"62","34"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-30","5.82","0.00",,"63","35"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-01-31","6.26","0.00",,"63","36"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-01","4.92","0.00",,"56","42"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-02","6.71","0.33",,"62","49"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-03","10.74","1.06",,"61","55"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-04","7.61","0.17",,"62","47"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-05","6.71","0.52",,"61","47"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-06","10.96","0.80",,"60","56"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-07","12.53","0.86",,"63","57"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-08","6.26","0.62",,"64","57"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-09","9.17","0.95",,"62","57"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-10","7.61","0.00",,"63","48"
"USW00093227","NAPA CO AIRPORT, CA US","38.2075","-122.28041","4.7","2017-02-11","3.13","0.00",,"65","39"
