"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-01","4.25","0.00",,"40","16"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-02","6.26","0.01",,"40","25"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-03","12.75","0.00",,"39","17"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-04","19.91","0.00",,"19","9"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-05","13.65","0.00",,"15","3"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-06","9.17","0.00",,"9","-1"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-07","9.62","0.00",,"20","-1"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-08","8.95","0.00",,"19","-3"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-09","11.86","0.00",,"34","19"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-10","24.61","0.21",,"51","26"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-11","10.29","0.32",,"42","26"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-12","12.53","0.00",,"30","20"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-13","10.07","0.00",,"25","17"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-14","4.25","0.00",,"33","20"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-15","1.34","0.00",,"33","17"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-16","6.71","0.81",,"38","31"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-17","10.51","0.40",,"39","35"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-18","9.40","0.00",,"37","31"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-19","6.26","0.22",,"41","30"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-20","6.71","0.13",,"45","39"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-21","8.50","0.00",,"59","37"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-22","5.82","0.00",,"41","30"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-23","8.28","0.00",,"42","35"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-24","6.71","0.01",,"38","36"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-25","12.97","0.14",,"41","34"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-26","16.55","0.00",,"35","29"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-27","16.11","0.00",,"30","25"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-28","13.87","0.00",,"29","25"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-29","10.51","0.00",,"28","18"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-30","11.18","0.00",,"40","11"
"USW00004808","CHICAGO AURORA MUNICIPAL AIRPORT, IL US","41.77132","-88.48148","213.7","2017-01-31","18.12","0.00",,"43","35"
