"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-01","0.00","0.0","30","19"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-02","0.00","0.0","34","25"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-03","0.03","0.0","36","30"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-04","0.00","0.0","34","2"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-05","0.00","0.0","8","-6"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-06","0.00","0.0","2","-8"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-07","0.00","0.0","4","-8"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-08","0.00","0.0","8","-3"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-09","0.04","0.7","16","0"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-10","0.34","3.6","29","16"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-11","0.57","0.0","35","10"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-12","0.03","0.6","21","10"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-13","0.00","0.0","19","-1"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-14","0.00","0.0","11","-1"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-15","0.00","0.0","24","3"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-16","0.00","0.0","25","9"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-17","0.70","0.0","33","22"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-18","0.01","0.0","34","31"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-19","0.00","0.0","37","30"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-20","0.15","0.0","32","30"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-21","0.09","0.0","35","32"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-22","0.00","0.0","39","34"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-23","0.00","0.0","39","35"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-24","0.00","0.0","40","34"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-25","0.22","0.7","39","33"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-26","0.31","2.5","34","28"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-27","0.00","0.0","36","25"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-28","0.00","0.0","30","19"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-29","0.00","0.0","30","22"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-30","0.00","0.0","25","5"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-01-31","0.16","2.6","24","5"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-01","0.06","1.1","31","19"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-02","0.00","0.0","28","5"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-03","0.00","0.0","16","0"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-04","0.00","0.0","20","1"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-05","0.00","0.0","28","12"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-06","0.00","0.0","32","13"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-07","0.00","0.0","38","15"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-08","0.02","0.0","36","19"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-09","0.00","0.0","20","2"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-10","0.00","0.0","18","4"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-11","0.00","0.0","37","18"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-12","0.00","0.0","36","33"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-13","0.00","0.0","40","23"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-14","0.00","0.0","42","25"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-02-15","0.00","0.0","43","22"
