"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-01","0.00","0.0","55","28"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-02","0.03","0.0","41","28"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-03","0.04","0.0","48","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-04","0.01","0.0","48","18"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-05","0.01","0.1","32","18"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-06","0.10","0.0","23","9"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-07","0.00","0.0","16","5"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-08","0.00","0.0","32","5"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-09","0.00","0.0","34","18"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-10","0.03","0.0","57","19"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-11","0.00","0.0","68","45"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-12","0.00","0.0","66","46"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-13","0.17","0.0","66","30"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-14","0.63","0.0","36","30"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-15","0.82","0.0","37","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-16","0.04","0.0","41","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-17","0.05","0.0","61","39"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-18","0.00","0.0","39","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-19","0.00","0.0","41","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-20","0.02","0.0","52","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-21","0.01","0.0","66","45"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-22","0.05","0.0","64","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-23","0.19","0.0","52","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-24","0.00","0.0","50","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-25","0.00","0.0","66","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-26","0.00","0.0","46","28"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-27","0.00","0.0","34","27"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-28","0.00","0.0","43","27"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-29","0.00","0.0","46","30"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-30","0.00","0.0","48","34"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-01-31","0.00","0.0","64","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-01","0.00","0.0","63","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-02","0.00","0.0","55","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-03","0.00","0.0","34","23"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-04","0.00","0.0","37","21"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-05","0.00","0.0","39","25"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-06","0.00","0.0","63","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-07","0.00","0.0","68","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-08","0.00","0.0","72","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-09","0.00","0.0","52","19"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-10","0.00","0.0","43","19"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-11","0.00","0.0","70","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-12","0.00","0.0","82","54"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-13","0.00","0.0","59","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-14","0.54","0.0","54","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-15","0.60","0.0","41","34"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-16","0.00","0.0","48","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-17","0.00","0.0","64","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-18","0.00","0.0","70","46"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-19","0.00","0.0","66","46"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-20","0.00","0.0","75","43"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-21","0.27","0.0","68","55"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-22","0.04","0.0","59","54"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-23","0.00","0.0","73","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-24","0.00","0.0","77","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-25","0.00","0.0","52","23"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-26","0.00","0.0","45","23"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-27","0.00","0.0","48","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-02-28","0.02","0.0","66","36"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-01","0.04","0.0","75","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-02","0.00","0.0","54","28"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-03","0.00","0.0","57","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-04","0.07","0.0","59","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-05","0.02","0.0","66","45"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-06","0.00","0.0","59","54"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-07","1.14","0.0","75","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-08","0.00","0.0","57","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-09","0.00","0.0","68","45"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-10","0.93","0.0","77","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-11","0.03","0.0","54","32"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-12","0.46","3.0","37","23"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-13","0.15","0.0","41","25"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-14","0.00","0.0","39","30"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-15","0.05","0.1","32","23"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-16","0.00","0.0","39","23"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-17","0.00","0.0","52","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-18","0.03","0.0","70","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-19","0.00","0.0","70","46"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-20","0.00","0.0","77","48"
