"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-01","20.58","0.00","0.0","39","35"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-02","19.91","0.04","0.0","38","35"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-03","11.18","0.32","1.5","36","31"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-04","7.83","0.00","0.0","31","19"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-05","5.37","0.00","0.0","28","20"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-06","8.28","0.00","0.0","26","6"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-07","5.82","0.00","0.0","8","3"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-08","10.51","0.00","0.0","10","3"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-09","11.18","0.00","0.0","5","-1"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-10","4.03","0.00","0.0","7","-3"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-11","5.37","0.00","0.0","20","7"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-12","16.11","0.00","0.0","16","-5"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-13","19.01","0.00","0.0","-4","-10"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-14","11.41","0.01","0.1","2","-11"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-15","5.37","0.00","0.0","1","-9"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-16","7.61","0.00","0.0","-7","-20"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-17","2.91","0.00","0.0","-9","-23"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-18","7.61","0.00","0.0","-4","-23"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-19","19.01","0.27","2.7","1","-13"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-20","10.51","0.00","0.0","-11","-23"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-21","4.03","0.00","0.0","-10","-30"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-22","14.09","0.00","0.0","-17","-31"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-23","21.03","0.00","0.0","-1","-17"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-24","9.84","0.28","2.8","29","-1"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-25","10.29","0.01","0.1","33","23"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-26","8.28","0.00","0.0","31","20"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-27","8.95","0.00","0.0","25","9"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-28","19.24","0.02","0.2","28","16"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-29","18.34","0.00","0.0","30","16"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-30","22.15","0.25","2.4","35","28"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-01-31","8.28","0.00","0.0","32","18"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-01","6.49","0.00","0.0","28","4"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-02","8.95","0.00","0.0","13","2"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-03","6.71","0.00","0.0","6","-2"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-04","9.40","0.00","0.0","4","-8"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-05","10.74","0.00","0.0","4","-6"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-06","11.18","0.00","0.0","5","-6"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-07","1.79","0.00","0.0","16","-10"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-08","10.07","0.00","0.0","16","-5"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-09","12.97","0.01","0.1","6","-9"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-10","15.43","0.00","0.0","-8","-18"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-11","8.95","0.00","0.0","-11","-23"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-12","12.75","0.00","0.0","-9","-19"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-13","27.51","0.14","1.4","7","-13"
"USW00026615","BETHEL AIRPORT, AK US","60.78497","-161.82931","32.6","2017-02-14","23.71","0.06","0.6","17","7"
