"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-01","4.25","0.16","38","31"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-02","2.24","0.00","37","25"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-03","5.37","0.00","35","27"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-04","3.36","0.00","39","23"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-05","3.58","0.00","37","19"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-06","4.70","0.00","42","18"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-07","5.82","0.00","39","25"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-08","5.37","0.56","46","34"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-09","6.04","0.06","44","34"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-10","5.82","0.10","40","32"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-11","4.70","0.00","36","26"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-12","0.67","0.00","40","21"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-13","1.34","0.00","38","23"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-14","1.79","0.00","43","23"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-15","1.34","0.00","44","23"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-16","3.80","0.00","47","28"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-17","3.80","1.52","46","40"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-18","7.61","1.21","53","44"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-19","7.38","0.13","50","38"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-20","3.13","0.00","53","33"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-21","2.68","0.04","52","39"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-22","2.68","0.12","47","36"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-23","2.24","0.00","48","32"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-24","2.68","0.00","44","29"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-25","2.24","0.00","44","34"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-26","2.68","0.00","48","42"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-27","3.58","0.00","54","36"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-28","4.47","0.00","54","36"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-29","7.38","0.00","49","35"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-30","2.91","0.00","47","42"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-01-31","6.71","0.01","45","33"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-01","4.70","0.00","45","29"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-02","6.71","0.00","47","26"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-03","4.03","0.66","40","34"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-04","6.93","0.71","46","37"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-05","7.16","0.68","41","33"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-06","6.71","0.39","39","31"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-07","2.68","0.00","40","30"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-08","2.01","0.76","40","36"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-09","9.62","1.55","57","40"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-10","12.53","0.06","49","41"
"USW00024234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2017-02-11","4.47","0.01","49","36"
