"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-01","4.25","0.00","0.0","56","39"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-02","2.46","0.00","0.0","53","45"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-03","2.01","0.00","0.0","59","44"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-04","4.03","0.09","0.0","61","49"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-05","6.04","0.17","0.0","58","45"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-06","3.80","0.00","0.0","54","38"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-07","6.93","0.20","0.0","63","47"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-08","10.51","0.24","0.0","76","57"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-09","7.61","0.23","0.0","64","53"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-10","3.80","0.00","0.0","63","52"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-11","5.14","0.00","0.0","64","50"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-12","5.14","0.56","0.0","58","48"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-13","5.14","0.13","0.0","48","41"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-14","3.80","0.00","0.0","48","38"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-15","4.25","0.00","0.0","46","43"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-16","2.24","0.00","0.0","51","37"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-17","4.25","0.00","0.0","62","34"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-18","5.14","0.09","0.0","55","37"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-19","4.25","0.16","0.0","58","45"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-20","6.04","0.63","0.0","54","46"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-21","4.25","0.00","0.0","58","39"
"USW00023155","BAKERSFIELD AIRPORT, CA US","35.43424","-119.05524","149.3","2017-01-22","10.96","0.13","0.0","60","49"
