"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-01","4.47","0.74","0.0","63","51"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-02","8.50","1.66","0.0","64","59"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-03","7.83","0.00","0.0","65","53"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-04","9.62","0.00","0.0","55","33"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-05","6.26","0.00","0.0","51","30"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-06","12.08","0.16","0.3","35","23"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-07","12.97","0.00","0.0","31","17"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-08","4.03","0.00","0.0","36","13"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-09","5.82","0.00","0.0","49","22"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-10","10.74","0.00","0.0","60","43"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-11","12.30","0.00","0.0","69","58"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-12","9.17","0.00","0.0","74","59"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-13","3.13","0.00","0.0","78","57"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-14","2.01","0.00","0.0","76","50"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-15","1.79","0.00","0.0","73","47"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-16","6.26","0.00","0.0","72","51"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-17","10.29","0.00","0.0","77","62"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-18","3.13","0.00","0.0","67","55"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-19","6.04","1.27","0.0","66","56"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-20","8.50","0.00","0.0","74","58"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-21","5.37","0.92","0.0","68","57"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-22","9.40","1.43","0.0","67","49"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-23","14.99","0.02","0.0","64","46"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-24","3.80","0.00","0.0","62","38"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-25","9.84","0.51","0.0","72","47"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-26","10.51","0.00","0.0","60","39"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-27","8.72","0.00","0.0","45","32"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-28","8.72","0.00","0.0","54","27"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-29","7.61","0.00","0.0","54","34"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-30","4.47","0.00","0.0","60","31"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-01-31","8.72","0.00","0.0","73","47"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-02-01","8.05","0.00","0.0","71","50"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-02-02","4.92","0.16","0.0","58","43"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-02-03","8.50","0.01","0.0","51","32"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-02-04","4.70","0.00","0.0","54","24"
"USW00013876","BIRMINGHAM AIRPORT, AL US","33.56545","-86.7449","187.7","2017-02-05","4.47","0.32","0.0","53","44"
