"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-01","7.61","0.00",,"55","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-02","6.93","0.16",,"53","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-03","7.61","0.53",,"58","46"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-04","6.04","0.71",,"58","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-05","3.13","0.00",,"52","34"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-06","5.59","0.00",,"48","31"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-07","5.59","0.46",,"61","41"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-08","13.42","1.50",,"64","56"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-09","10.07","0.26",,"60","51"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-10","12.75","1.86",,"60","54"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-11","8.72","0.08",,"56","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-12","3.13","0.14",,"50","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-13","1.34","0.00",,"60","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-14","2.01","0.00",,"56","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-15","2.46","0.00",,"54","38"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-16","2.91","0.00",,"55","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-17","4.25","0.00",,"49","35"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-18","7.16","0.80",,"53","44"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-19","9.84","0.04",,"60","49"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-20","10.96","0.83",,"56","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-21","8.72","0.31",,"56","46"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-22","9.62","0.69",,"59","46"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-23","6.26","0.13",,"53","43"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-24","3.80","0.00",,"55","41"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-25","3.36","0.00",,"57","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-26","3.58","0.00",,"58","41"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-27","3.13","0.00",,"60","35"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-28","3.13","0.00",,"60","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-29","2.91","0.00",,"63","34"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-30","2.24","0.00",,"61","35"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-01-31","3.13","0.00",,"58","35"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-01","2.68","0.00",,"52","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-02","5.37","0.22",,"66","48"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-03","10.29","0.71",,"62","55"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-04","5.82","0.07",,"61","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-05","8.28","0.15",,"64","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-06","8.95","0.41",,"59","55"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-07","10.74","1.18",,"64","57"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-08","5.82","0.22",,"66","57"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-09","9.62","0.50",,"64","58"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-10","6.71","0.05",,"64","51"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-11","3.36","0.00",,"65","45"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-12","2.01","0.00",,"67","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-13","2.68","0.00",,"65","41"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-14","3.58","0.00",,"67","44"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-15","2.91","0.00",,"63","48"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-16","9.84","0.18",,"67","53"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-17","8.72","0.60",,"59","52"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-18","9.40","0.00",,"61","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-19","8.50","0.09",,"59","49"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-20","10.96","1.37",,"60","55"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-21","9.17","0.20",,"60","49"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-22","10.51","0.00",,"57","41"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-23","5.59","0.00",,"55","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-24","5.59","0.00",,"56","36"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-25","4.03","0.00",,"57","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-26","6.26","0.03",,"60","35"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-27","5.59","0.07",,"57","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-02-28","4.47","0.00",,"60","37"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-01","2.91","0.00",,"65","38"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-02","4.92","0.00",,"68","39"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-03","4.70","0.00",,"69","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-04","11.18","0.40",,"61","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-05","10.96","0.22",,"54","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-06","7.61","0.27",,"58","43"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-07","3.80","0.00",,"60","40"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-08","3.80","0.00",,"70","42"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-09","2.91","0.00",,"74","49"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-10","3.58","0.00",,"73","54"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-11","3.80","0.00",,"77","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-12","2.91","0.00",,"79","49"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-13","3.36","0.00",,"77","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-14","2.91","0.00",,"80","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-15","6.71","0.00",,"69","53"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-16","7.38","0.00",,"74","53"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-17","2.91","0.00",,"77","47"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-18","5.82","0.00",,"70","53"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-19","2.91","0.00",,"70","54"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-20","5.59","0.45",,"64","53"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-21","10.29","0.15",,"67","57"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-22","9.62","0.32",,"63","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-23","6.71","0.00",,"64","43"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-24","6.26","0.24",,"58","52"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-25","5.82","0.00",,"66","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-26","8.05","0.07",,"64","50"
"USW00023254","CONCORD BUCHANAN FIELD, CA US","37.99165","-122.05268","7.0","2017-03-27","9.17","0.00",,"67","47"
