"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-01","6.71","0.00","37","13"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-02","9.17","0.12","35","30"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-03","19.69","0.05","35","9"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-04","19.01","0.00","12","3"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-05","12.30","0.00","11","-3"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-06","8.50","0.00","8","-5"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-07","9.17","0.00","18","0"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-08","10.07","0.00","21","-4"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-09","8.50","0.00","34","13"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-10","18.34","0.25","46","22"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-11","12.08","0.00","37","16"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-12","12.30","0.00","21","13"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-13","9.62","0.00","21","8"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-14","4.92","0.00","31","16"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-15","3.80","0.00","32","17"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-16","8.95","0.68","34","28"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-17","10.51","0.00","34","32"
"USW00014990","CEDAR RAPIDS MUNICIPAL AIRPORT, IA US","41.882917","-91.724591","256.0","2017-01-18","9.40","0.00","38","27"
