"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-01","4.25","0.00","59","54"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-02","5.59","0.39","70","50"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-03","8.72","0.00","71","46"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-04","6.93","0.00","48","38"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-05","6.49","0.00","42","38"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-06","10.74","0.00","38","23"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-07","5.37","0.00","38","18"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-08","5.59","0.00","45","17"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-09","9.40","0.00","58","31"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-10","14.32","0.00","77","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-11","14.76","0.00","79","62"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-12","10.51","0.00","80","63"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-13","4.92","0.02","72","61"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-14","2.01","0.08","73","54"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-15","6.93","0.00","72","51"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-16","9.84","0.13","73","58"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-17","3.58","0.41","58","52"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-18","5.37","1.81","58","52"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-19","5.82","0.00","62","53"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-20","10.29","0.00","75","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-21","7.61","0.01","70","53"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-22","14.76","0.02","66","52"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-23","6.04","0.00","64","44"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-24","11.63","0.00","77","45"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-25","10.07","0.01","68","48"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-26","8.05","0.00","56","36"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-27","6.26","0.00","56","30"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-28","7.16","0.00","58","35"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-29","9.62","0.00","62","41"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-30","4.47","0.00","77","34"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-01-31","11.18","0.00","77","54"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-01","8.50","0.00","77","52"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-02","8.05","0.00","66","42"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-03","7.61","0.00","54","39"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-04","6.49","0.01","53","37"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-05","3.36","0.22","55","47"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-06","10.96","0.01","76","52"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-07","11.86","0.00",,
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-08",,"0.00",,
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-09",,"0.00","61","40"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-10","10.07","0.00","72","39"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-11","12.30","0.00","85","65"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-12","8.95","0.00","77","65"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-13","9.40","0.00","65","55"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-14","8.50","0.71","57","46"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-15","8.50","0.00","63","44"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-16","2.91","0.00","66","36"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-17","6.93","0.00","69","42"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-18","6.93","0.00","73","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-19","8.72","0.00","80","59"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-20","6.04","0.40","68","59"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-21","5.14","0.00","68","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-22","4.70","0.00","73","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-23","10.51","0.00","82","56"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-24","12.08","0.00","78","53"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-25","6.93","0.00","57","39"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-26","10.51","0.01","68","38"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-27","8.28","0.37","67","56"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-02-28","11.18","0.00","82","64"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-01","12.30","0.00","74","50"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-02","5.37","0.00","66","43"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-03","3.36","0.00","70","40"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-04","6.71","0.00","65","41"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-05","10.29","0.21","63","52"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-06","13.20","0.28","74","61"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-07","9.17","0.12","73","47"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-08","5.82","0.00","76","41"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-09","8.28","0.00","76","62"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-10","9.17","0.00","74","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-11","10.51","0.07","57","43"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-12","8.50","0.02","59","39"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-13","6.26","0.11","57","43"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-14","4.92","0.00","59","35"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-15","8.28","0.00","59","41"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-16","10.51","0.00","67","43"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-17","11.86","0.00","78","61"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-18","5.82","0.00","80","63"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-19","5.59","0.00","84","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-20","10.51","0.00","86","66"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-21","9.17","0.00","85","62"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-22","6.04","0.00","81","60"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-23","10.07","0.00","85","60"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-24","15.66","0.03","80","64"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-25","9.40","0.00","76","58"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-26","7.83","0.00","85","50"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-27","7.83","0.00","79","67"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-28","6.93","0.00","84","67"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-29","9.84","0.14","79","64"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-30","7.83","0.00","73","55"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-03-31","4.25","0.00","84","50"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-04-01","7.16","0.00","86","54"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-04-02",,"0.85","66","57"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-04-03","6.93","0.00","78","59"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-04-04","8.72","0.00","86","55"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-04-05","12.53","0.00","71","55"
"USW00053905","SHREVEPORT DOWNTOWN AIRPORT, LA US","32.53984","-93.74616","52.3","2017-04-06","6.71","0.00","74","47"
