"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-01","4.25","0.01","0.0","66","36"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-02","7.61","0.85","0.0","70","52"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-03","12.75","0.00","0.0","57","33"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-04","6.93","0.00","0.0","37","28"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-05","12.97","0.00","0.0","35","23"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-06","12.97","0.00",,"24","12"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-07","4.25","0.00","0.0","39","8"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-08","10.29","0.00","0.0","47","14"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-09","18.12","0.00","0.0","67","32"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-10","10.51","0.00","0.0","77","45"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-11","18.12","0.00","0.0","79","43"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-12","12.30","0.00","0.0","73","44"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-13","10.07","0.18","0.0","46","37"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-14","8.72","0.00","0.0","41","36"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-15","7.83","1.66","0.0","64","41"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-16","7.38","0.01","0.0","61","45"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-17","6.04","0.23","0.0","50","38"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-18","5.14","0.02","0.0","53","45"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-19","10.74","0.00","0.0","65","42"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-20","10.29","0.00","0.0","75","43"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-21","6.93","0.00","0.0","72","39"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-22","14.09","0.00","0.0","64","43"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-23","6.93","0.00","0.0","66","32"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-24","8.50","0.00","0.0","78","44"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-25","9.17","0.00","0.0","58","31"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-26","6.26","0.00","0.0","51","26"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-27","8.50","0.00","0.0","54","24"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-28","9.84","0.00","0.0","56","30"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-29","11.18","0.00","0.0","67","35"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-30","6.04","0.00","0.0","76","37"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-01-31","10.51","0.00","0.0","79","39"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-01","9.17","0.00","0.0","77","48"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-02","12.97","0.00","0.0","48","40"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-03","9.40","0.00","0.0","50","37"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-04","11.18","0.00","0.0","54","40"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-05","8.50","0.00","0.0","75","48"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-06","16.78","0.00","0.0","82","61"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-07","9.84","0.00","0.0","77","50"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-08","12.08","0.00","0.0","62","39"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-09","7.61","0.00","0.0","58","30"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-10","16.11","0.00","0.0","76","44"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-11","14.76","0.00","0.0","87","59"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-12","16.78","0.00","0.0","71","54"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-13","12.30","0.30","0.0","62","45"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-14","13.20","0.98","0.0","46","40"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-15","10.07","0.00","0.0","58","36"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-16","7.16","0.00","0.0","67","30"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-17","12.08","0.00","0.0","70","43"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-18","8.28","0.00","0.0","77","56"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-19","11.63","0.01","0.0","74","56"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-20","8.72","0.43","0.0","67","52"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-21","8.28","0.00","0.0","75","47"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-22","6.26","0.00","0.0","84","39"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-23","13.20","0.00","0.0","89","50"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-24","13.87","0.00","0.0","70","42"
"USW00003991","DENTON MUNICPAL AIRPORT, TX US","33.20883","-97.19922","194.6","2017-02-25","5.82","0.00","0.0","52","30"
