"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-01","5.82","0.00","0.0","41","23"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-02","6.49","0.08","0.0","43","27"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-03","8.05","0.36","0.0","45","38"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-04","19.24","0.01","0.2","38","19"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-05","12.30","0.03","0.7","20","12"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-06","9.17","0.00","0.0","17","8"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-07","11.18","0.02","0.7","17","5"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-08","10.07","0.00","0.0","18","8"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-09","12.30","0.00","0.0","31","16"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-10","20.13","0.53","3.0","49","27"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-11","13.87","0.13","0.0","57","29"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-12","11.41","0.40","0.0","58","29"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-13","8.05","0.00","0.0","29","20"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-14","4.47","0.00","0.0","33","23"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-15","3.80","0.00","0.0","34","18"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-16","3.36","0.15","0.0","36","19"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-17","8.50","0.42","0.0","48","33"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-18","10.96","0.00","0.0","43","35"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-19","7.83","0.00","0.0","38","33"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-20","5.82","0.16","0.0","42","33"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-21","3.13","0.00","0.0","59","40"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-22","3.80","0.00","0.0","49","40"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-23","7.38","0.11","0.0","46","41"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-24","7.16","0.04","0.0","42","39"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-25","10.07","0.01","0.0","48","36"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-26","16.11","0.00","0.0","42","35"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-27","14.76","0.01","0.1","35","28"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2017-01-28","13.87","0.02","0.5","31","28"
