"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-01","13.87","0.00",,"80","73"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-02","16.33","0.02",,"81","76"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-03","9.17","0.01",,"83","72"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-04","6.71","0.14",,"82","70"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-05","4.03","0.00",,"79","62"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-06","5.37","0.00",,"80","62"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-07","12.08","0.15",,"85","51"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-08","13.87","0.00",,"68","48"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-09","12.30","0.00",,"71","50"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-10","15.21","0.02",,"74","66"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-11","14.32","0.26",,"77","64"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-12","14.09","0.00",,"79","71"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-13","15.21","0.03",,"80","69"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-14","14.76","0.01",,"77","71"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-15","13.42","0.01",,"78","72"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-16","15.21","0.00",,"79","72"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-17","10.51","0.00",,"79","69"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-18","5.59","0.00",,"79","67"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-19","4.70","0.00",,"80","63"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-20","5.82","0.00",,"82","63"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-21","6.71","0.00",,"83","64"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-22","15.21","0.00",,"85","72"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-23","17.67","0.58",,"79","66"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-24","9.17","0.00",,"78","63"
"USW00012849","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US","26.07875","-80.16223","1.0","2017-01-25","5.14","0.00",,"78","56"
