"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-01","3.36","0.06","58","44"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-02","4.92","0.74","71","56"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-03","8.28","0.65","72","57"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-04","8.72","0.00","65","48"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-05","5.37","0.00","56","37"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-06","5.82","0.38","49","39"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-07","13.42","0.30","39","25"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-08","6.93","0.00","34","19"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-09","3.58","0.00","38","18"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-10","4.47","0.00","59","24"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-11","4.92","0.00","70","41"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-12","7.83","0.00","75","51"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-13","4.25","0.00","78","51"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-14","5.37","0.00","63","45"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-15","3.58","0.00","70","43"
"USW00013744","FLORENCE REGIONAL AIRPORT, SC US","34.18773","-79.73079","43.0","2017-01-16","4.70","0.00","54","50"
