"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-01","6.26","0.00","0.0","41","22"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-02","5.59","0.49","0.0","46","23"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-03","8.28","0.19","0.0","41","35"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-04","21.03","0.02","0.5","35","14"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-05","13.65","0.00","0.0","16","7"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-06","8.28","0.01","0.2","14","5"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-07","10.51","0.02","0.3","14","5"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-08","10.96","0.00","0.0","17","7"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-09","10.96","0.00","0.2","28","15"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-10","19.01","0.41","4.1","47","26"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-11","12.97","0.65","0.0","48","28"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-12","10.96","0.13","0.3","37","24"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-13","7.61","0.00","0.0","24","17"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-14","4.47","0.00","0.0","30","18"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-15","4.70","0.00","0.0","35","13"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-16","4.47","0.19","0.1","33","17"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-17","7.83","0.45","0.0","37","33"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-18","9.40","0.00","0.0","38","34"
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2017-01-19","5.82","0.00","0.0","42","30"
