"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-01","2.01","0.00","0.0","36","18"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-02","4.70","0.00","0.0","45","24"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-03","3.80","0.00","0.0","44","28"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-04","4.70","0.00","0.0","42","30"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-05","10.07","0.28","3.1","39","14"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-06","8.05","0.00","0.0","18","-4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-07","2.46","0.00","0.0","20","-3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-08","1.12","0.06","0.8","24","17"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-09","4.70","0.30","0.0","37","17"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-10","4.25","0.00","0.0","40","22"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-11","5.59","0.05","0.0","50","32"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-12","4.92","0.03","0.0","40","31"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-13","3.58","0.01","0.0","42","33"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-14","7.61","0.00","0.0","46","33"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-15","3.36","0.00","0.0","47","32"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-16","3.80","0.00","0.0","43","28"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-17","1.79","0.00","0.0","45","23"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-18","3.36","0.00","0.0","43","24"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-19","7.61","0.05","1.0","38","25"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-20","5.14","0.04","0.3","36","31"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-21","8.28","0.10","1.1","36","30"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-22","8.72","0.00","0.0","41","23"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-23","12.75","0.02","0.0","50","29"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-24","5.37","0.04","0.3","38","27"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-25","4.25","0.00","0.0","34","22"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-26","3.80","0.03","1.1","31","18"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-27","3.80","0.00","0.0","32","13"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-28","5.82","0.00","0.0","38","14"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-29","4.70","0.00","0.0","45","20"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-30","4.25","0.00","0.0","46","20"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-01-31","3.58","0.00","0.0","46","21"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-01","2.91","0.00","0.0","50","26"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-02","3.58","0.00","0.0","47","26"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-03","4.92","0.00","0.0","51","25"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-04","4.25","0.00","0.0","55","25"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-05","7.38","0.00","0.0","56","34"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-06","4.92","0.00","0.0","56","31"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-07","4.92","0.00","0.0","50","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-08","6.71","0.00","0.0","64","32"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-09","6.71","0.00","0.0","64","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-10","11.41","0.00","0.0","69","47"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-11","6.71","0.22","0.0","55","38"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-12","3.80","0.00","0.0","49","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-13","4.92","0.00","0.0","56","32"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-14","4.25","0.00","0.0","56","26"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-15","5.37","0.00","0.0","55","27"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-16","6.26","0.00","0.0","55","23"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-17","9.17","0.00","0.0","59","34"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-18","9.62","0.00","0.0","52","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-19","5.82","0.12","0.0","48","35"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-20","7.38","0.00","0.0","54","36"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-21","6.93","0.00","0.0","62","40"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-22","7.61","0.00","0.0","62","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-23","12.75","0.00","0.0","52","24"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-24","6.26","0.00","0.0","38","18"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-25","4.92","0.00","0.0","38","15"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-26","4.25","0.00","0.0","43","13"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-27","14.32","0.00","0.0","50","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-02-28","5.37","0.20","2.2","40","21"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-01","6.04","0.00","0.0","42","19"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-02","5.82","0.00","0.0","50","21"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-03","6.93","0.00","0.0","57","24"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-04","12.08","0.00","0.0","65","33"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-05","17.22","0.00","0.0","57","43"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-06","15.43","0.00","0.0","49","19"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-07","6.93","0.00","0.0","51","16"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-08","6.26","0.00","0.0","62","27"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-09","6.93","0.00","0.0","67","30"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-10","6.26","0.00","0.0","68","39"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-11","5.59","0.00","0.0","67","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-12","7.61","0.00","0.0","68","36"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-13","4.92","0.00","0.0","63","29"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-14","6.71","0.00","0.0","73","34"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-15","8.50","0.00","0.0","76","39"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-16","6.71","0.00","0.0","75","37"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-17","6.04","0.00","0.0","76","40"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-18","9.62","0.00","0.0","80","44"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-19","8.95","0.00","0.0","79","48"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-20","7.83","0.00","0.0","77","49"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-21","12.08","0.00","0.0","76","52"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-22","11.18","0.00","0.0","73","53"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","39.13437","-108.54081","1470.4","2017-03-23","8.95","0.03","0.0","59","44"
