"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-01","4.70","0.30","49","40"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-02","8.72","1.03","56","49"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-03","6.49","0.42","62","50"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-04","7.61","0.00","57","40"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-05","2.46","0.00","50","33"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-06","6.71","0.28","44","34"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-07","12.75","0.23","34","21"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-08","5.82","0.00","34","17"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-09","3.58","0.00","37","22"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-10","3.36","0.00","50","27"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-11","2.24","0.04","61","44"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-12","8.28","0.00","71","46"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-13","5.59","0.00","79","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-14","5.59","0.00","64","54"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-15","5.37","0.00","77","53"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-16","6.71","0.00","61","54"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-17","6.26","0.00","65","53"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-18","9.17","0.00","78","52"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-19","4.25","0.00","66","47"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-20","5.82","0.43","73","52"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-21","7.38","1.03","57","54"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-22","7.61","0.45","61","56"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-23","6.71","0.22","61","48"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-24","4.25","0.00","67","44"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-25","8.95","0.00","74","40"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-26","12.30","0.02","64","42"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-27","7.16","0.00","53","32"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-28","8.28","0.00","53","30"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-29","10.51","0.00","53","32"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-30","9.84","0.00","53","36"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-01-31","10.51","0.00","70","39"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-01","8.95","0.00","71","49"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-02","2.91","0.01","69","48"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-03","8.72","0.00","52","35"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-04","5.37","0.00","46","28"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-05","8.72","0.00","61","33"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-06","4.47","0.00","69","37"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-07","7.83","0.45","70","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-08","8.28","0.08","73","54"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-09","8.50","0.23","62","35"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-10","6.26","0.00","57","29"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-11","11.41","0.00","73","44"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-12","12.75","0.00","80","62"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-13","7.83","0.00","67","47"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-14","6.93","0.00","68","43"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-15","6.93","0.37","62","43"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-16","3.58","0.00","65","35"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-17","6.49","0.00","71","39"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-18","6.04","0.00","64","46"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-19","4.92","0.00","71","44"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-20","1.79","0.00","73","43"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-21","6.71","0.01","69","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-22","9.40","0.13","63","53"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-23","3.80","0.00","75","54"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-24","3.13","0.00","76","52"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-25","12.53","0.00","73","47"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-26","3.80","0.00","60","34"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-27","3.36","0.00","63","39"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-02-28","6.26","0.00","72","49"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-02","12.75",,"78","42"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-03","8.50","0.00","60","38"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-04","4.03","0.00","59","33"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-05","5.37","0.00","64","39"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-06","4.03","0.03","63","46"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-07","9.17","0.09","74","52"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-08","7.38","0.00","73","52"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-09","5.37","0.00","74","42"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-10","10.74","0.17","73","46"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-11","4.92","0.04","53","40"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-12","6.93","0.35","44","34"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-13","8.95","0.13","45","31"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-14","9.62","0.05","55","32"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-15","7.38","0.00","44","27"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-16","5.59","0.00","53","24"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-17","5.59","0.00","62","31"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-18","10.51","0.03","75","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-19","10.74","0.00","60","42"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-20","4.03","0.00","71","38"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-21","5.59","0.50","87","52"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-22","9.62","0.01","68","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-23","8.05","0.00","62","43"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-24","3.58","0.00","71","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-25","6.49","0.00","74","55"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-26","5.59","0.23","72","57"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-27","6.04","0.00","80","59"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-28","9.84","0.44","83","60"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-29","4.47","0.00","81","56"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-30","8.05","0.43","69","62"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-03-31","13.20","0.44","74","59"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-01","4.25","0.00","78","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-02","7.38","0.00","76","51"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-03","8.50","0.54","67","59"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-04","10.96","0.00","81","61"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-05","4.47","1.41","67","58"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-06","19.01","0.01","60","48"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-07","10.74","0.00","64","46"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-08","5.37","0.00","70","45"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-09","4.03","0.00","76","44"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-10","6.71","0.00","77","53"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-11","7.16","0.00","81","55"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-12","3.13","0.00","81","59"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-13","6.26","0.00","83","60"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-14","3.58","0.03","85","62"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-15","7.16","0.00","82","62"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-16","8.50","0.00","81","63"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-17","7.16","0.44","85","61"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-18","9.62","0.01","70","63"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84872","-82.35006","309.9","2017-04-19","6.04","0.47","67","59"
