"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-01","6.71","0.00","0.0","34","21"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-02","10.29","0.03","0.0","38","27"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-03","11.86","0.01","0.0","37","13"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-04","18.12","0.00","0.0","13","-1"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-05","14.76","0.00","0.0","3","-5"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-06","9.17","0.00","0.0","6","-3"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-07","12.30","0.00","0.0","11","-2"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-08","8.72","0.00","0.0","18","0"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-09","7.16","0.23","2.7","29","17"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-10","16.11","0.72","2.3","38","15"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-11","10.29","0.04","1.2","21","13"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-12","10.51","0.00","0.0","20","9"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-13","5.37","0.00","0.0","11","0"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-14","4.03","0.00","0.0","25","5"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-15","4.47","0.00","0.0","25","0"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-16","4.92","0.47","0.0","35","16"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-17","8.72","0.11","0.0","36","34"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-18","9.40","0.00","0.0","37","33"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-19","5.14","0.00","0.0","35","33"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-20","6.71","0.17","0.0","36","34"
"USW00014898","GREEN BAY A S INTERNATIONAL AIRPORT, WI US","44.47958","-88.1371","208.6","2017-01-21","5.14","0.01","0.0","39","35"
