"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-01","4.70","0.10","0.0","65","43"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-02","6.71","0.25","0.0","70","52"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-03","13.65","0.00","0.0","59","37"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-04","7.38","0.00","0.0","38","28"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-05","12.30","0.00","0.0","37","24"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-06","13.65","0.00",,"24","13"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-07","4.92","0.00","0.0","38","10"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-08","8.28","0.00","0.0","47","15"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-09","17.22","0.00","0.0","65","31"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-10","12.75","0.00","0.0","75","49"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-11","20.80","0.00","0.0","77","52"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-12","12.97","0.00","0.0","75","45"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-13","8.72","0.19","0.0","50","40"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-14","7.61","0.00","0.0","45","38"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-15","7.38","1.27","0.0","64","42"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-16","6.71","0.03","0.0","62","44"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-17","5.37","0.20","0.0","50","40"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-18","5.14","0.32","0.0","50","45"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-19","10.51","0.00","0.0","61","50"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-20","10.51","0.00","0.0","74","44"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-21","7.61","0.40","0.0","66","45"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-22","15.88","0.00","0.0","63","48"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-23","5.82","0.00","0.0","63","35"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-24","10.07","0.00","0.0","75","44"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-25","11.63","0.00","0.0","63","37"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-26","7.16","0.00","0.0","51","29"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-27","8.95","0.00","0.0","55","25"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-28","11.18","0.00","0.0","55","33"
"USW00053914","MCKINNEY MUNICIPAL AIRPORT, TX US","33.18286","-96.58988","173.3","2017-01-29","12.97","0.00","0.0","65","40"
