"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-01","3.58","0.00",,"68","62"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-02","7.61","1.72",,"67","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-03","6.93","0.00",,"73","55"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-04","6.26","0.00",,"57","35"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-05","4.70","0.02",,"49","34"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-06","8.95","0.47",,"36","23"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-07","7.83","0.00",,"32","18"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-08","4.03","0.00",,"38","17"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-09","8.50","0.00",,"57","26"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-10","14.32","0.00",,"70","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-11","13.42","0.00",,"76","62"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-12","8.95","0.00",,"79","62"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-13","4.47","0.00",,"75","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-14","1.79","0.00",,"76","52"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-15","4.70","0.00",,"77","49"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-16","10.96","0.00",,"76","58"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-17","7.16","0.00",,"79","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-18","3.58","0.22",,"75","57"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-19","5.82","1.48",,"68","53"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-20","8.05","0.00",,"76","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-21","7.61","1.19",,"73","57"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-22","10.29","0.42",,"64","52"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-23","9.17","0.00",,"60","42"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-24","6.49","0.00",,"71","37"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-25","8.28","0.07",,"73","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-26","8.05","0.00",,"56","39"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-27","5.14","0.00",,"49","33"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-28","7.61","0.00",,"58","33"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-29","8.28","0.00",,"60","38"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-30","5.59","0.00",,"71","35"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-01-31","9.40","0.00",,"77","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-01","7.16","0.00",,"76","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-02","6.04","0.06",,"64","43"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-03","7.16","0.00",,"54","38"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-04","6.71","0.00",,"59","33"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-05","4.92","0.09",,"55","48"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-06","9.40","0.00",,"77","55"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-07","6.71","1.58",,"78","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-08","9.84","0.00",,"80","49"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-09","5.14","0.00",,"56","38"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-10","11.18","0.00",,"75","39"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-11","10.29","0.00",,"81","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-12","8.95","0.00",,"83","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-13","4.70","0.00",,"69","50"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-14","8.95","0.07",,"74","48"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-15","8.95","0.00",,"60","42"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-16","1.79","0.00",,"65","34"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-17","7.38","0.00",,"66","38"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-18","3.13","0.00",,"71","50"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-19","3.36","0.00",,"81","50"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-20","8.05","0.13",,"82","58"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-21","4.92","0.30",,"69","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-22","4.03","0.00",,"74","48"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-23","6.26","0.00",,"80","49"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-24","10.74","0.01",,"81","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-25","7.16","0.00",,"61","39"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-26","9.17","0.00",,"70","37"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-27","9.17","1.27",,"64","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-02-28","13.20","0.00",,"83","63"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-01","10.51","0.00",,"80","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-02","6.26","0.00",,"64","45"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-03","4.03","0.00",,"67","37"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-04","5.37","0.00",,"70","38"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-05","6.71","0.09",,"67","52"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-06","16.33","0.00",,"80","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-07","10.07","0.47",,"75","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-08","4.70","0.00",,"74","40"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-09","5.37","0.00",,"79","52"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-10","5.37","0.28",,"74","56"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-11","8.28","0.24",,"57","41"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-12","6.49","0.22",,"60","38"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-13","4.92","0.11",,"51","44"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-14","8.05","0.00",,"48","36"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-15","4.70","0.00",,"52","32"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-16","6.71","0.00",,"61","35"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-17","9.17","0.00",,"77","49"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-18","6.49","0.00",,"77","57"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-19","3.58","0.00",,"84","50"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-20","6.26","0.00",,"83","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-21","6.71","0.00",,"86","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-22","4.92","0.00",,"80","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-23","8.95","0.00",,"85","56"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-24","17.45","0.00",,"83","66"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-25","12.75","0.38",,"77","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-26","8.72","0.00",,"84","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-27","8.05","0.14",,"83","64"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-28","5.37","0.00",,"85","63"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-29","9.17","0.04",,"84","65"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-30","10.51","0.94",,"74","57"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-03-31","2.24","0.00",,"80","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-01","4.92","0.00",,"85","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-02","9.40","4.27",,"76","56"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-03","10.29","1.33",,"77","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-04","6.49","0.00",,"85","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-05","13.87","0.00",,"81","54"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-06","8.50","0.00",,"67","49"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-07","4.70","0.00",,"69","43"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-08","3.13","0.00",,"76","43"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-09","9.40","0.00",,"80","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-10","7.16","0.00",,"79","53"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-11","4.47","0.06",,"79","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-12","2.91","0.15",,"83","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-13","1.79","0.00",,"85","58"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-14","4.70","0.00",,"82","58"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-15","8.72","0.00",,"83","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-16","7.38","0.00",,"82","65"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-17","5.59","0.06",,"79","63"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-18","6.04","0.00",,"83","64"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-19","5.59","0.00",,"85","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-20","6.26","0.00",,"84","63"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-21","7.16","0.00",,"85","65"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-22","7.83","0.98",,"81","56"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-23","7.16","0.02",,"59","53"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-24","5.59","0.00",,"75","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-25","8.95","0.00",,"82","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-26","11.86","1.50",,"82","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-27","4.25","0.00",,"73","55"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-28","14.32","0.00",,"89","58"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-29","18.57","0.00",,"88","74"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-04-30","12.75","0.83",,"78","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-01","8.05","0.00",,"75","52"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-02","3.13","0.00",,"83","53"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-03","11.41","1.01",,"79","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-04","12.30","0.05",,"63","51"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-05","11.18","0.00",,"71","49"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-06","4.92","0.00",,"78","48"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-07","2.46","0.00",,"85","53"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-08","0.89","0.00",,"86","56"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-09","2.91","0.00",,"85","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-10","4.92","0.00",,"86","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-11","5.14","0.00",,"80","63"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-12","6.49","0.34",,"82","64"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-13","4.47","0.00",,"70","59"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-14","2.68","0.00",,"84","57"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-15","2.68","0.00",,"88","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-16","8.05","0.00",,"88","69"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-17","11.41","0.00",,"88","68"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-18","9.17","0.00",,"91","71"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-19","8.50","0.01",,"91","73"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-20","6.49","1.16",,"90","69"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-21","3.80","1.40",,"86","65"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-22","2.68","1.21",,"73","64"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-23","6.04","0.52",,"76","62"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-24","11.18","0.25",,"73","58"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-25","4.92","0.00",,"81","53"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-26","9.62","0.00",,"88","61"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-27","7.61","0.00",,"90","67"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-28","6.93","1.20",,"84","67"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-29","4.70","0.11",,"81","65"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-30","6.49","0.00",,"85","68"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-05-31","4.92","0.00",,"85","67"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-01","4.03","0.30",,"81","69"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-02","4.47","0.27",,"88","70"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-03","6.93","0.02",,"81","71"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-04","7.61","0.41",,"86","71"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-05","3.13","0.48",,"82","71"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-06","4.47","0.89",,"81","71"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-07","6.49","0.00",,"84","66"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-08","3.13","0.00",,"82","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-09","2.24","0.00",,"84","60"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-10","4.47","0.00",,"87","64"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-11","6.04","0.00",,"91","66"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-12","5.59","0.16",,"87","72"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-13","4.70","0.43",,"88","71"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33756","-90.2214","101.7","2017-06-14","4.70","0.00",,"91","72"
