"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-01","4.03","0.01","0.0","50","42"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-02","2.24","0.05","0.0","62","45"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-03","6.71","0.61","0.0","60","53"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-04","9.84","0.02","0.0","54","26"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-05","3.80","0.13","1.6","28","24"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-06","6.49","0.00","0.7","24","14"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-07","6.93","0.00","0.0","20","10"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-08","5.37","0.00","0.0","23","10"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-09","4.03","0.00","0.0","36","8"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-10","12.08","0.05","0.0","56","31"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-11","8.05","0.24","0.0","63","42"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-12","12.30","0.45","0.0","69","49"
"USW00003860","HUNTINGTON TRI STATE AIRPORT, WV US","38.36531","-82.5548","251.3","2017-01-13","6.71","0.09","0.0","49","37"
