"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-01","4.47","0.00",,"46","19"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-02","4.70","0.20",,"54","40"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-03","8.50","0.29",,"51","30"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-04","12.97","0.00",,"30","17"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-05","7.16","0.00",,"20","10"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-06","6.93","0.00",,"11","2"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-07","5.82","0.00",,"18","-1"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-08","4.70","0.00",,"19","1"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-09","12.97","0.00",,"38","19"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-10","19.46","0.44",,"56","35"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-11","10.51","0.23",,"63","25"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-12","13.42","0.29",,"63","29"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-13","8.72","0.01",,"33","25"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-14","3.80","0.26",,"35","31"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-15","4.47","0.00",,"37","32"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-16","7.61","0.73",,"55","36"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-17","11.86","0.02",,"58","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-18","8.28","0.00",,"40","36"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-19","6.71","0.48",,"47","35"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-20","7.16","0.53",,"55","47"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-21","6.93","0.00",,"65","44"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-22","7.61","0.00",,"61","40"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-23","11.86","0.00",,"47","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-24","6.04","0.00",,"43","36"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-25","13.20","0.00",,"55","37"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-26","14.09","0.00",,"38","32"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-27","12.30","0.00",,"33","25"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-28","7.83","0.00",,"36","23"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-29","8.05","0.00",,"33","25"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-30","7.61","0.00",,"38","8"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-01-31","10.74","0.00",,"45","37"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-01","6.26","0.00",,"41","30"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-02","9.62","0.00",,"33","21"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-03","7.83","0.00",,"30","18"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-04","7.61","0.00",,"38","12"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-05","8.50","0.00",,"48","28"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-06","6.49","0.02",,"54","27"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-07","14.99","0.05",,"63","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-08","11.18","0.00",,"40","26"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-09","8.95","0.00",,"26","13"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-10","13.42","0.00",,"54","14"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-11","7.83","0.11",,"67","46"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-12","13.42","0.00",,"57","35"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-13","4.47","0.00",,"47","22"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-14","9.17","0.00",,"54","36"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-15","10.74","0.00",,"44","28"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-16","6.71","0.00",,"51","25"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-17","10.51","0.00",,"67","34"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-18","8.50","0.00",,"66","43"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-19","4.70","0.00",,"65","41"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-20","6.93","0.00",,"70","36"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-21","3.80","0.00",,"64","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-22","6.93","0.00",,"71","43"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-23","8.05","0.00",,"72","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-24","14.54","0.23",,"69","43"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-25","16.11","0.00",,"43","27"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-26","8.05","0.00",,"48","20"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-27","7.38","0.00",,"56","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-02-28","12.75","0.45",,"65","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-03-01","17.90","0.53",,"64","38"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","39.4429","-87.32206","172.7","2017-03-02","11.18","0.00",,"43","29"
