"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-01","4.70","2.21",,"75","63"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-02","7.16","2.24",,"75","59"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-03","1.57","0.00",,"70","53"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-04","6.04","0.00",,"62","44"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-05","4.25","0.08",,"64","41"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-06","14.54","1.15",,"53","32"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-07","12.53","0.00",,"40","24"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-08","5.82","0.00",,"49","22"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-09","5.82","0.00",,"62","27"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-10","10.07","0.00",,"73","55"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-11","6.71","0.06",,"74","53"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-12","6.49","0.00",,"75","58"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-13","3.80","0.00",,"78","56"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-14","2.91","0.00",,"77","49"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-15","4.70","0.00",,"75","59"
"USW00053865","SLIDELL AIRPORT, LA US","30.34355","-89.82237","7.5","2017-01-16","8.50","0.15",,"78","65"
