"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-01","5.82","0.00","0.0","45","23"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-02","6.71","0.49","0.0","52","38"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-03","9.62","0.29","0.0","51","33"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-04","15.88","0.00","0.0","33","18"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-05","8.72","0.07","1.2","19","7"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-06","8.50","0.00","0.0","11","2"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-07","9.84","0.00","0.0","16","-1"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-08","7.61","0.00","0.0","19","2"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-09","12.08","0.00","0.0","36","18"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-10","21.70","0.52","0.0","54","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-11","13.20","0.09","0.0","62","28"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-12","17.67","0.61","0.0","65","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-13","10.07","0.00","0.0","32","25"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-14","6.04","0.20","0.0","35","31"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-15","5.82","0.00","0.0","35","29"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-16","8.28","0.56","0.0","51","35"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-17","14.32","0.18","0.0","58","38"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-18","10.29","0.00","0.0","39","36"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-19","8.28","0.70","0.0","46","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-20","8.50","0.61","0.0","55","44"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-21","8.95","0.00","0.0","66","45"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-22","9.17","0.00","0.0","61","47"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-23","14.99","0.00","0.0","50","39"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-24","8.50","0.00","0.0","42","38"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-25","15.66","0.00","0.0","56","37"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-26","19.01","0.02","0.2","38","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-27","15.88","0.00","0.1","32","26"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-28","12.53","0.00","0.0","32","23"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-29","9.62","0.01","0.2","32","25"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-30","11.41","0.00","0.0","36","15"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-01-31","16.33","0.00","0.0","44","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-01","9.84","0.00","0.0","41","31"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-02","10.96","0.00","0.0","33","21"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-03","10.51","0.00","0.0","29","16"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-04","8.50","0.00","0.0","35","13"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-05","10.74","0.00","0.0","49","30"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-06","7.38","0.01","0.0","56","29"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-07","18.57","0.20","0.0","61","46"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-08","12.53","0.12","2.1","46","26"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-09","13.65","0.00","0.0","26","14"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-10","14.09","0.00","0.0","51","14"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-11","11.86","0.04","0.0","66","48"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-12","16.33","0.04","0.0","59","34"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-13","6.49","0.00","0.0","47","23"
"USW00093819","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US","39.72515","-86.2816","241.3","2017-02-14","13.20","0.00","0.0","53","35"
