"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-01","4.70","0.00","0.0","46","26"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-02","5.82","0.01","0.0","41","25"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-03","4.47","0.42","0.0","43","37"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-04","13.42","0.11","0.0","46","25"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-05","10.51","0.01","0.2","29","22"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-06","6.93","0.00","0.0","26","15"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-07","8.05","0.00","0.0","26","14"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-08","12.97","0.00","0.1","23","11"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-09","5.82","0.00","0.0","24","8"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-10","9.84","0.29","0.4","32","15"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-11","5.37","0.16","0.0","46","24"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-12","7.38","0.49","0.0","55","38"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-13","6.93","0.00","0.0","43","27"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-14","3.58","0.04","0.3","30","25"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-15","2.68","0.00","0.0","36","21"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-16","1.34","0.00","0.0","38","16"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-17","6.71","0.27","0.0","40","34"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-18","3.13","0.01","0.0","45","37"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-19","2.91","0.00","0.0","47","30"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-20","3.80","0.28","0.0","41","30"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-21","0.89","0.00","0.0","46","39"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-22","1.57","0.00","0.0","46","40"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-23","8.05","0.82","0.1","49","33"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-24","9.40","0.34","0.7","38","33"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-25","6.49","0.00","0.0","50","37"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-26","11.41","0.07","0.0","47","36"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-27","13.20","0.00","0.0","40","33"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-28","10.07","0.00","0.0","36","31"
"USW00014778","WILLIAMSPORT REGIONAL AIRPORT, PA US","41.24295","-76.92173","159.8","2017-01-29","7.83","0.00","0.0","40","28"
