"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-01","5.14","0.05",,"17","-14"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-02","5.59","0.03",,"18","-9"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-03","4.03","0.01",,"10","-18"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-04","4.92","0.20",,"17","3"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-05","3.36","0.00",,"3","-33"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-06","2.01","0.00",,"-11","-39"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-07","2.24","0.02",,"2","-34"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-08","2.91","0.07",,"19","-5"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-09","9.40","0.13",,"35","16"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-10","14.76","0.01",,"29","15"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-11","8.50","0.01",,"33","5"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-12","3.80","0.00","0.0","10","-15"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-13","4.70","0.00","0.0","8","-15"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-14","3.58","0.00","0.0","15","-12"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-15","3.36","0.00",,"2","-21"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-16","2.24","0.00",,"2","-27"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-17","2.46","0.00","0.0","4","-23"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-18","4.03","0.00","0.0","8","-17"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-19","1.34","0.00",,"15","-6"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-20","3.58","0.00",,"11","-7"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-21","3.13","0.00",,"21","2"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-22","3.13","0.09",,"16","-5"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-23","3.58","0.22",,"23","14"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-24","6.04","0.15",,"22","-2"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-25","2.01","0.00",,"3","-13"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-26","2.68","0.00","0.0","8","-14"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-27","1.79","0.00","0.0","11","-24"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-28","21.25","0.00","0.0","28","2"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-29","8.95","0.00","0.0","25","2"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-30","3.58","0.00","0.0","19","-5"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-01-31","8.72","0.00","0.0","37","4"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-01","8.28","0.00","0.0","33","11"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-02","2.01","0.00",,"16","6"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-03","1.79","0.00",,"24","7"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-04","8.28","0.13",,"37","10"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-05","5.37","0.00",,"34","20"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-06","12.30","0.01",,"35","19"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-07","12.08","0.25",,"38","26"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-08","9.84","0.00",,"38","22"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-09","6.93","0.00",,"43","19"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-10","6.49","0.10",,"42","30"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-11","7.38","0.00",,"33","2"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-12","2.24","0.00","0.0","19","-7"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-13","2.91","0.00","0.0","19","-9"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-14","2.01","0.00","0.0","24","-5"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-15","2.01","0.00","0.0","23","-5"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-16","3.58","0.00","0.0","25","-6"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-17","4.47","0.06",,"29","5"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-18","3.13","0.00",,"35","21"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-19","8.05","0.01",,"38","11"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-20","6.49","0.00",,"32","8"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-21","15.43","0.11",,"39","24"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-22","6.71","0.00","0.0","29","17"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-23","11.41","0.01",,"27","17"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-24","4.92","0.00",,"21","-6"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-25","4.03","0.00",,"12","-11"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-26","3.36","0.00",,"13","-18"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-27","5.82","0.07",,"20","-11"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-02-28","5.37","0.00",,"15","-20"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-03-01","4.47","0.00","0.0","20","-11"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-03-02","4.25","0.00","0.0","19","-8"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-03-03","2.91","0.00",,"20","-12"
"USW00024164","BIG PINEY MARBLETON AIRPORT, WY US","42.57802","-110.10976","2118.0","2017-03-04","2.24","0.00","0.0","26","-5"
