"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-01","4.92","0.14",,"53","39"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-02","8.28","0.30",,"58","52"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-03","10.29","0.43",,"58","45"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-04","8.05","0.00",,"45","24"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-05","5.82","0.00",,"38","23"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-06","8.95","0.04",,"23","14"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-07","8.72","0.00",,"19","8"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-08","2.01","0.00",,"25","1"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-09","7.83","0.00",,"37","19"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-10","10.96","0.36",,"50","35"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-11","8.72","0.61",,"59","48"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-12","7.16","0.04",,"62","56"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-13","3.36","0.02",,"60","52"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-14","6.04","0.02",,"64","54"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-15","2.01","0.01",,"64","50"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-16","4.92","0.00",,"61","47"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-17","9.62","0.56",,"61","51"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-18","4.03","0.00",,"54","41"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-19","3.58","0.51",,"59","40"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-20","5.82","0.42",,"63","53"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-21","3.80","0.08",,"60","45"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-22","7.38","1.37",,"62","45"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-23","13.42","0.29",,"52","37"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-24","4.92","0.00",,"47","35"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-25","7.61","0.08",,"59","39"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-26","11.18","0.00",,"52","33"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-27","8.50","0.00",,"34","28"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-28","8.72","0.00",,"45","24"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-29","9.40","0.05",,"36","29"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-30","7.16","0.00",,"44","25"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-01-31","6.26","0.00",,"61","38"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-01","5.82","0.00",,"62","37"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-02","7.38","0.04",,"45","35"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-03","8.95","0.00",,"35","22"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-04","7.16","0.01",,"44","15"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-05","5.14","0.00",,"51","34"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-06","4.03","0.16",,"54","31"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-07","8.95","0.56",,"60","51"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-08","7.38","0.35",,"63","35"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-09","9.62","0.00",,"35","22"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-10","6.93","0.00",,"57","20"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-11","7.16","0.00",,"62","51"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-12","11.41","0.01",,"68","41"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-13","5.59","0.00",,"53","31"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-14","2.46","0.00",,"50","28"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-15","8.95","0.26",,"46","32"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-16","6.26","0.00",,"50","25"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-17","6.93","0.00",,"64","36"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-18","2.24","0.22",,"50","44"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-19","2.68","0.00",,"66","43"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-20","2.46","0.00",,"69","37"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-21","4.03","0.12",,"66","50"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-22","2.46","0.08",,"63","52"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-23","5.14","0.00",,"69","50"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-24","9.62","0.00",,"73","57"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-25","10.74","0.31",,"57","27"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-26","3.80","0.00",,"50","21"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-27","6.49","0.01",,"52","39"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-02-28","8.50","0.55",,"60","49"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-01","12.08","1.33",,"65","39"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-02","8.50","0.00",,"48","30"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-03","6.49","0.00",,"43","26"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-04","3.58","0.00",,"60","23"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-05","4.70","0.00",,"63","34"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-06","10.07","0.02",,"63","51"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-07","10.51","0.84",,"57","45"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-08","5.14","0.00",,"60","31"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-09","4.92","0.29",,"68","31"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-10","10.07","0.72",,"52","33"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-11","7.61","0.03",,"37","26"
"USW00003847","CROSSVILLE MEMORIAL AIRPORT, TN US","35.95097","-85.08141","568.6","2017-03-12","6.93","0.00",,"49","26"
