"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-10-25","2.91","0.00","0.0","84","60"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-10-26","3.13","0.00","0.0","82","61"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-10-27","2.46","0.00","0.0","83","58"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-10-28","2.68","0.00","0.0","82","58"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-10-29","5.14","0.00","0.0","86","62"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-10-30","16.78","0.00","0.0","74","60"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-10-31","8.95","0.00","0.0","68","56"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-01","4.92","0.00","0.0","78","53"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-02","3.80","0.00","0.0","80","57"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-03","4.70","0.00","0.0","78","57"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-04","3.36","0.00","0.0","73","55"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-05","3.58","0.00","0.0","76","55"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-06","2.91","0.00","0.0","76","55"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-07","3.80","0.00","0.0","74","51"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-08","15.88","0.00","0.0","65","53"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-09","9.17","0.00","0.0","67","48"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-10","3.36","0.00","0.0","66","42"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-11","10.51","0.00","0.0","61","47"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-12","8.28","0.00","0.0","60","39"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-13","4.03","0.00","0.0","62","39"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-14","3.80","0.00","0.0","68","46"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-15","3.13","0.00","0.0","71","46"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-16","3.36","0.00","0.0","68","47"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-17","2.46","0.00","0.0","67","44"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-18","4.25","0.00","0.0","66","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-19","2.46","0.00","0.0","64","42"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-20","3.80","0.00","0.0","67","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-21","3.13","0.00","0.0","67","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-22","8.95","0.01","0.0","68","53"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-23","3.58","0.00","0.0","63","46"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-24","5.82","0.00","0.0","67","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-25","7.38","0.00","0.0","59","44"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-26","3.58","0.00","0.0","62","41"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-27","2.91","0.00","0.0","62","43"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-28","5.14","0.00","0.0","66","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-29","8.05","0.22","0.0","61","51"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-11-30","5.14","0.00","0.0","64","46"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-01","8.05","0.00","0.0","61","43"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-02","7.16","0.00","0.0","57","40"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-03","3.36","0.00","0.0","53","39"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-04","5.82","0.00","0.0","55","41"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-05","3.58","0.00","0.0","50","40"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-06","3.36","0.01","0.0","52","47"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-07","2.91","0.09","0.0","57","47"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-08","2.01","0.00","0.0","62","43"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-09","3.58","0.00","0.0","61","42"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-10","2.91","0.00","0.0","61","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-11","3.80","0.00","0.0","65","47"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-12","6.26","0.00","0.0","68","43"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-13","2.68","0.00","0.0","58","41"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-14","2.24","0.00","0.0","55","40"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-15","2.68","0.00","0.0","62","43"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-16","1.79","0.00","0.0","64","41"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-17","2.91","0.00","0.0","59","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-18","4.03","0.00","0.0","61","41"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-19","3.13","0.00","0.0","67","43"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-20","2.46","0.00","0.0","65","44"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-21","3.80","0.00","0.0","64","47"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-22","3.36","0.00","0.0","65","44"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-23","3.13","0.00","0.0","61","44"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-24","3.13","0.00","0.0","61","42"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-25","9.40","0.07","0.0","57","45"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-26","14.76","0.00","0.0","57","42"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.16343","662.8","2018-12-27","8.50","0.00","0.0","53","35"
