"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-01","6.93","0.02",,"37","25"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-02","12.08","0.00","0.0","37","29"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-03","9.62","0.30",,"40","37"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-04","18.57","0.17",,"41","17"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-05","11.86","0.02",,"20","14"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-06","6.93","0.00",,"16","2"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-07","6.93","0.00",,"14","0"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-08","16.33","0.00",,"13","4"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-09","6.04","0.00","0.0","24","5"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-10","10.96","0.28",,"35","18"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-11","10.74","0.26",,"50","35"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-12","14.32","1.01",,"58","34"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-13","9.62","0.00","0.0","34","23"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-14","6.26","0.00","0.0","31","22"
"USW00004787","DUBOIS REGIONAL AIRPORT, PA US","41.17947","-78.89326","550.4","2017-01-15","3.80","0.00","0.0","32","18"
