"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-01","9.84","0.00",,"30","16"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-02","8.28","0.00",,"30","15"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-03","11.41","0.00",,"23","16"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-04","10.51","0.02",,"18","2"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-05","5.59","0.00",,"8","-19"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-06","1.57","0.00",,"7","-19"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-07","10.07","0.32",,"40","7"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-08","11.41","0.38",,"45","35"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-09","10.74","0.06",,"39","29"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-10","12.30","0.45",,"39","32"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-11","8.05","0.01",,"38","13"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-12","8.28","0.00",,"30","15"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-13","6.93","0.00",,"26","9"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-14","6.93","0.00",,"29","12"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-15","3.58","0.00",,"32","10"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-16","2.91","0.00",,"34","9"
"USW00094236","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","42.14702","-121.72553","1244.4","2017-01-17","6.49","0.00",,"41","12"
