"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-01","7.16","0.00","0.0","41","18"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-02","10.51","0.00","0.0","38","30"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-03","19.46","0.00","0.0","30","10"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-04","8.95","0.11","2.0","14","7"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-05","8.50","0.00","0.0","12","-5"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-06","4.92","0.00","0.0","14","-9"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-07","5.82","0.00","0.0","20","0"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-08","10.51","0.00","0.0","34","-1"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-09","8.50","0.00","0.0","35","16"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-10","9.62","0.03","0.0","37","22"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-11","14.54","0.00","0.0","34","13"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-12","9.17","0.00","0.0","23","10"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-13","7.83","0.00","0.0","25","14"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-14","2.01","0.00","0.0","39","17"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-15","3.80","0.21","0.0","32","29"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-16","11.18","0.60","0.0","33","32"
"USW00014939","LINCOLN AIRPORT, NE US","40.84781","-96.76467","356.7","2017-01-17","7.16","0.00","0.0","38","23"
