"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-01","3.36","0.00","47","28"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-02","2.24","0.00","56","43"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-03","4.70","0.89","58","44"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-04","13.42","0.00","44","22"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-05","6.04","0.03","24","15"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-06","6.04","0.00","16","9"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-07","8.50","0.00","16","6"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-08","4.92","0.00","23","9"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-09","8.05","0.00","36","16"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-10","17.67","0.13","53","36"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-11","6.71","0.51","61","25"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-12","16.78","0.32","67","37"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-13","8.05","0.05","40","34"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-14","4.25","0.27","38","34"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-15","4.70","0.06","39","34"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-16","2.01","0.11","50","38"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-17","12.75","0.28","65","46"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-18","7.16","0.00","46","39"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-19","3.13","0.05","51","36"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-20","7.38","0.54","63","43"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-21","1.79","0.00","64","38"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-22","4.92","0.00","64","41"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-23","11.18","0.11","57","45"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-24","6.49","0.00","46","35"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-25","8.05","0.00","60","31"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-26","13.87","0.01","43","32"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-27","12.30","0.01","36","30"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-28","11.18","0.00","39","26"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-29","8.05","0.01","35","27"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-30","9.62","0.00","34","22"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-01-31","13.20","0.00","50","28"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-01","6.71","0.00","44","37"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-02","7.16","0.00","39","27"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-03","6.71","0.00","31","18"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-04","3.13","0.00","37","12"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-05","9.62","0.00","54","27"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-06","5.82","0.18","62","25"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-07","15.21","0.49","61","53"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-08","9.62","0.08","53","32"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-09","10.51","0.00","32","17"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-10","9.62","0.00","53","16"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2017-02-11","10.51","0.05","67","48"
