"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-01","3.58","0.00","0.0","52","48"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-02","5.37","0.76","0.0","66","51"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-03","8.50","0.02","0.0","59","44"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-04","10.74","0.00","0.0","44","31"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-05","8.95","0.00","0.0","35","27"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-06","12.53","0.08","2.0","27","19"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-07","7.38","0.00","0.0","24","13"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-08","4.25","0.00","0.0","30","13"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-09","11.41","0.00","0.0","50","22"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-10","17.22","1.47","0.0","66","49"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-11","17.00","0.03","0.0","72","60"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-12","14.09","0.02","0.0","76","50"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.05639","-89.9864","76.6","2017-01-13","7.61","0.00","0.0","50","45"
