"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-01","4.47","0.00","48","15"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-02","5.59","0.12","55","35"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-03","9.84","0.00","37","16"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-04","6.71","0.03","23","8"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-05","4.47","0.03","18","1"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-06","2.91","0.00","18","-3"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-07","3.36","0.00","27","-2"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-08","10.29","0.00","43","3"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-09","7.61","0.00","50","18"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-10","9.62","0.01","54","27"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-11","11.18","0.00","56","20"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-12","7.16","0.00","26","14"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-13","8.05","0.00","28","17"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-14","3.58","0.00","34","27"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-15","6.93","0.43","33","30"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-16","7.61","0.73","40","33"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-17","4.25","0.00","46","24"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-18","3.36","0.00","59","21"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-19","4.70","0.01","48","42"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-20","4.92","0.00","51","37"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-21","4.70","0.02","58","33"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-22","5.14","0.00","47","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-23","3.80","0.00","55","21"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-24","10.74","0.00","63","34"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-25","10.51","0.00","37","28"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-26","6.49","0.00","40","23"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-27","8.95","0.00","49","24"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-28","8.50","0.00","50","29"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-29","6.04","0.00","58","30"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-30","5.82","0.00","66","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-01-31","4.47","0.00","52","22"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-01","11.86","0.00","41","25"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-02","5.14","0.00","34","15"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-03","4.92","0.00","35","24"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-04","12.75","0.00","57","23"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-05","4.70","0.00","50","27"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-06","3.58","0.00","62","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-07","8.05","0.00","43","27"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-08","8.50","0.00","32","18"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-09","6.26","0.00","42","14"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-10","10.29","0.00","74","33"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-11","4.92","0.00","68","45"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-12","9.40","0.00","53","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-13","1.79","0.02","51","23"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-14","6.26","0.00","57","29"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-15","4.92","0.00","59","23"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-16","11.86","0.00","76","35"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-17","11.18","0.00","77","43"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-18","1.79","0.00","74","32"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-19","6.26","0.00","65","36"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-20","7.61","0.39","64","42"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-21","2.46","0.00","71","30"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-22","6.49","0.00","80","40"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-23","14.99","0.00","61","41"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-24","8.95","0.00","42","23"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-25","7.61","0.00","46","16"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-26","2.91","0.00","54","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-27","8.50","0.00","65","20"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-02-28","10.29","0.01","61","42"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-01","6.93","0.00","54","21"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-02","5.82","0.00","56","17"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-03","11.41","0.00","69","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-04","18.57","0.00","72","49"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-05","20.80","0.00","67","55"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-06","23.26","0.05","81","44"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-07","11.18","0.00","64","29"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-08","5.37","0.00","70","25"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-09","8.72","0.00","73","27"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-10","12.08","0.00","42","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-11","7.61","0.06","36","25"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-12","10.07","0.00","46","19"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-13","10.29","0.00","41","26"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-14","6.93","0.00","33","23"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-15","7.61","0.00","49","23"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-16","11.41","0.00","77","31"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-17","7.38","0.00","73","46"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-18","5.82","0.00","69","30"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-19","12.75","0.00","92","50"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-20","9.62","0.00","78","49"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-21","17.00","0.00","63","44"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-22","11.86","0.00","61","39"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-23","14.54","0.03","79","46"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-24","11.18","0.82","73","45"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-25","6.93","0.17","47","43"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-26","4.03","0.36","53","43"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-27","5.37","0.15","57","46"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-28","9.17","0.33","57","45"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-29","16.33","1.97","51","47"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-30","8.05","0.13","49","43"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-03-31","5.82","0.00","51","43"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-01","8.72","0.08","55","41"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-02","2.68","0.04","55","47"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-03","5.82","0.59","69","49"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-04","8.95","0.90","50","45"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-05","9.62","0.30","62","39"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-06","6.26","0.00","61","34"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-07","8.05","0.00","71","30"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-08","13.20","0.00","80","55"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-09","15.21","0.00","81","62"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-10","9.40","0.00","64","37"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-11","2.46","0.00","69","29"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-12","8.05","0.25","79","44"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-13","7.61","0.04","79","55"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-14","13.42","0.09","80","59"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-15","17.67","0.06","83","64"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-16","8.05","0.24","65","51"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-17","6.71","0.00","75","45"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-18","8.50","0.00","83","56"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-19","13.42","0.52","84","59"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-20","6.49","0.00","70","52"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-21","12.08","0.04","56","48"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-22","9.84","0.00","66","39"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-23","4.47","0.00","71","31"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-24","15.21","0.00","77","48"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-25","6.93","0.00","69","45"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-26","7.61","0.00","54","40"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-27","5.37","0.14","61","30"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-28","9.17","0.21","64","44"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-29","16.11","0.38","48","42"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-04-30","9.84","0.78","55","41"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-01","9.40","0.04","67","38"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-02","4.03","0.00","68","47"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-03","3.58","0.05","61","47"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-04","6.71","0.00","70","39"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-05","2.91","0.00","77","39"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-06","5.14","0.00","85","44"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-07","8.05","0.00","87","51"
"USW00003936","MANHATTAN ASOS, KS US","39.13456","-96.67894","319.3","2017-05-08","10.74","0.00","87","58"
