"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-01","6.04","0.00","0.0","41","19"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-02","7.83","0.01","0.0","41","24"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-03","10.96","0.00","0.0","39","18"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-04","16.33","0.00","0.0","18","5"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-05","13.20","0.00","0.0","12","1"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-06","9.62","0.00","0.0","8","0"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-07","11.63","0.00","0.0","15","1"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-08","9.17","0.00","0.0","19","3"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-09","10.07","0.04","0.7","31","19"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-10","19.01","0.47","0.1","50","22"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-11","12.30","0.02","0.0","40","21"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-12","10.51","0.01","0.2","26","18"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-13","6.93","0.00","0.0","26","10"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-14","4.47","0.00","0.0","36","20"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-15","2.91","0.00","0.0","38","15"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-16","6.49","0.53","0.0","37","23"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-17","8.28","0.11","0.0","40","36"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-18","10.51","0.00","0.0","39","34"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-19","6.04","0.08","0.0","38","33"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-20","7.83","0.43","0.0","39","37"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-21","6.04","0.03","0.0","56","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-22","3.58","0.00","0.0","46","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-23","7.16","0.00","0.0","44","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-24","6.04","0.04","0.2","39","34"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-25","10.74","0.29","0.8","38","34"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-26","12.75","0.00","0.2","36","31"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-27","12.75","0.00","0.0","32","24"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-28","10.96","0.00","0.0","31","22"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-29","11.41","0.00","0.0","29","19"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-30","8.05","0.09","1.5","30","13"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-01-31","12.75","0.01","0.4","38","29"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-02-01","10.29","0.02","0.4","36","17"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-02-02","12.30","0.00","0.0","20","11"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-02-03","11.63","0.00","0.0","24","12"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","42.95489","-87.9045","203.3","2017-02-04","12.30","0.00","0.0","33","12"
