"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-01","5.37","0.00",,"53","33"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-02","5.14","0.05",,"53","39"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-03","10.74","0.35",,"55","44"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-04","10.07","0.18",,"58","49"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-05","8.50","0.09",,"52","38"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-06","3.58","0.00",,"50","32"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-07","7.83","0.69",,"60","44"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-08","12.75","0.73",,"68","59"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-09","8.05","0.19",,"62","54"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-10","12.08","0.86",,"57","54"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-11","5.14","0.01",,"59","46"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-12","4.25","0.13",,"52","42"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-13","6.93","0.00",,"55","39"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-14","4.47","0.00",,"53","38"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-15","2.01","0.00",,"48","34"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-16","3.36","0.00",,"49","37"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-17","2.91","0.00",,"49","34"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-18","11.18","0.74",,"52","43"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-19","7.16","0.01",,"60","46"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-20","10.51","1.00",,"57","45"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-21","9.62","0.17",,"55","44"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-22","12.30","0.31",,"57","47"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-23","3.80","0.01",,"55","38"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-24","4.25","0.00",,"53","37"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-25","2.68","0.00",,"58","34"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-26","7.83","0.00",,"56","42"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-27","2.01","0.00",,"59","36"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-28","1.34","0.00",,"63","35"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-29","1.12","0.00",,"62","34"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-30","1.34","0.00",,"62","37"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-01-31","2.24","0.00",,"62","36"
"USW00023258","MODESTO AIRPORT, CA US","37.62544","-120.95492","26.5","2017-02-01","4.47","0.00",,"65","42"
