"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-01","9.62","0.00","22","9"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-02","17.00","0.01","9","2"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-03","19.69","0.00","2","-9"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-04","11.86","0.00","-1","-12"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-05","12.75","0.00","5","-13"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-06","9.62","0.00","1","-9"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-07","7.16","0.00","2","-15"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-08","11.63","0.00","2","-11"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-09","9.84","0.01","8","-6"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-10","18.57","0.00","9","-3"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-11","14.54","0.01","0","-17"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-12","16.78","0.03","7","-24"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-13","12.53","0.00","9","-23"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-14","12.30","0.00","17","2"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-15","15.43","0.00","25","9"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-16","10.07","0.00","30","12"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-17","15.43","0.00","40","14"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-18","13.87","0.00","44","29"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-19","6.04","0.00","40","22"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-20","6.93","0.00","29","15"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-21","4.25","0.00","31","27"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-22","11.63","0.00","34","30"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.25203","-101.26891","505.2","2017-01-23","11.63","0.00","30","23"
