"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-01","8.05","0.05","1.1","21","-2"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-02","19.46","0.00","0.0","13","7"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-03","8.05","0.00","0.0","11","2"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-04","2.01","0.00","0.0","7","-14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-05","0.89","0.00","0.0","1","-19"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-06","1.34","0.00","0.0","10","-5"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-07","0.89","0.14","2.0","7","-13"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-08","1.12","0.41","5.3","20","7"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-09","3.13","0.17","1.6","32","17"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-10","2.24","0.02","0.6","26","10"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-11","6.49","0.00","0.2","20","9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-12","1.57","0.00","0.0","20","0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-13","0.89","0.00","0.0","10","-11"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-14","0.00","0.00","0.0","7","-14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-15","0.89","0.00","0.0","7","-12"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-16","0.89","0.00","0.0","12","-12"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-17","2.01","0.00","0.0","18","-5"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-18","2.68","0.01","0.0","31","12"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-19","1.34","0.03","0.0","35","27"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-20","3.13","0.00","0.0","38","20"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-21","1.34","0.03","0.5","26","15"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-22","3.58","0.05","0.8","31","14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-23","5.82","0.02","0.3","33","18"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-24","3.80","0.00","0.0","29","15"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-25","2.68","0.00","0.0","26","20"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-26","1.12","0.00","0.0","31","19"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-27","4.25","0.00","0.0","27","12"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-28","1.12","0.00","0.0","25","3"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-29","1.57","0.00","0.0","29","10"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-30","5.14","0.00","0.0","44","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-01-31","10.29","0.05","1.4","36","19"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-01","10.51","0.00","0.0","20","6"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-02","4.92","0.00","0.0","21","-3"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-03","1.79","0.12","1.6","17","-8"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-04","1.79","0.28","3.3","30","16"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-05","6.26","0.00","0.0","47","21"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-06","8.28","0.04","0.0","46","26"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-07","2.91","0.06","0.7","28","14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-08","0.45","0.25","3.2","28","23"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-09","4.03","0.47","0.0","45","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-10","5.37","0.14","0.0","41","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-11","7.16","0.01","0.4","37","26"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-12","2.68","0.00","0.0","32","14"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-13","1.34","0.00","0.0","32","10"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-14","1.34","0.00","0.0","37","12"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-15","1.57","0.00","0.0","37","9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-16","2.68","0.03","0.0","47","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-17","4.25","0.02","0.0","45","31"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-18","2.01","0.00","0.0","43","28"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-19","5.59","0.05","0.0","46","33"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-20","6.49","0.36","0.1","39","29"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-21","4.03","0.36","0.0","43","32"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2017-02-22","4.92","0.00","0.0","39","28"
