"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-01","7.83","2.13",,"76","63"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-02","9.84","0.42",,"78","61"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-03","4.47","0.00",,"74","58"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-04","9.17","0.00",,"62","48"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-05","5.14","0.17",,"66","46"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-06","14.09","0.58",,"54","33"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-07","15.21","0.00",,"39","27"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-08","6.49","0.00",,"46","29"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-09","10.51","0.00",,"63","33"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-10","9.84","0.00",,"73","52"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-11","8.05","0.20",,"72","56"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-12","9.17","0.00",,"76","60"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-13","7.61","0.00",,"77","60"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-14","4.03","0.00",,"73","57"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-15","8.28","0.00",,"73","57"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-16","10.51","0.00",,"78","62"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-17","8.05","0.00",,"79","64"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-18","8.50","0.00",,"78","67"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-19","9.62","0.23",,"76","62"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-20","6.93","0.00",,"80","62"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-21","11.63","0.86",,"78","60"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-22","16.33","0.17",,"70","57"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-23","11.18","0.00",,"68","51"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-24","7.16","0.00",,"68","46"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-25","7.83","0.14",,"78","52"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-26","10.51","0.00",,"64","47"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-27","9.17","0.00",,"53","44"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-28","6.26","0.00",,"55","42"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-29","10.74","0.00",,"66","42"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-30","6.93","0.00",,"71","40"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-01-31","7.61","0.00",,"74","52"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-02-01","7.38","0.00",,"76","56"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-02-02","3.80","0.00",,"76","53"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-02-03","9.62","0.00",,"64","51"
"USW00012916","NEW ORLEANS AIRPORT, LA US","29.99755","-90.27772","-1.0","2017-02-04","7.61","0.00",,"60","45"
