"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-01","3.36","0.07","23","18"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-02","2.68","0.19","28","12"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-03","3.13","0.00","27","15"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-04","4.70","0.23","35","19"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-05","4.47","0.00","19","-1"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-06","6.71","0.00","10","-4"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-07","4.03","0.05","17","-4"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-08","1.57","0.41","37","15"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-09","8.95","0.25","46","32"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-10","11.41","0.00","42","31"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-11","6.93","0.59","41","31"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-12","3.13","0.01","34","24"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-13","4.70","0.00","31","20"
"USW00024126","OGDEN HINKLEY AIRPORT, UT US","41.19406","-112.01682","1356.1","2017-01-14","2.91","0.00","33","18"
