"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-01","9.84","0.06","76","67"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-02","9.17","0.00","78","66"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-03","6.26","0.00","79","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-04","7.38","0.00","80","57"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-05","7.83","0.00","80","59"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-06","9.17","0.00","78","67"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-07","10.51","0.00","80","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-08","6.93","0.00","80","62"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-09","5.59","0.00","82","58"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-10","6.26","0.00","83","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-11","4.47","0.00","86","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-12","4.03","0.00","85","64"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-13","5.59","0.00","85","66"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-14","5.59","0.00","83","65"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-15","6.93","0.00","86","63"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-16","8.95","0.00","86","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-17","12.08","0.00","82","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-18","7.38","0.00","86","60"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-19","9.40","0.00","83","68"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-20","8.72","0.01","82","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-21","21.92","0.07","80","68"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-22","20.80","0.01","78","66"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-23","8.28","0.00","83","60"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-24","11.63","0.00","81","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-25","14.76","0.00","82","65"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-26","9.40","0.00","85","64"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-27","8.05","0.00","83","61"
"USW00022516","KAHULUI AIRPORT, HI US","20.88871","-156.43453","14.0","2017-01-28","7.16","0.03","79","59"
