"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-01","9.62","0.00","0.0","60","32"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-02","10.29","0.02","0.0","68","42"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-03","21.25","0.00","0.0","48","27"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-04","10.29","0.00","0.0","36","21"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-05","17.00","0.01","0.1","26","15"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-06","8.05","0.12","1.6","18","1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-07","5.59","0.00","0.0","33","-3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-08","11.86","0.00","0.0","45","15"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-09","16.33","0.00","0.0","60","26"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-10","13.42","0.00","0.0","69","37"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-11","17.00","0.00","0.0","79","37"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-12","16.33","0.00","0.0","66","23"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-13","12.30","0.03","0.0","35","27"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-14","10.51","0.09","0.0","32","28"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-15","8.95","1.24","0.0","46","32"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-16","12.53","0.04","0.0","50","36"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-17","7.16","0.00","0.0","54","33"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-18","5.14","0.00","0.0","56","38"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-19","12.30","0.00","0.0","59","41"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-20","14.76","0.00","0.0","69","34"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-21","7.16","0.00","0.0","69","35"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-22","18.34","0.02","0.0","58","37"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-23","8.95","0.00","0.0","62","26"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","35.38843","-97.60035","389.9","2017-01-24","15.66","0.00","0.0","75","42"
